0xff814248,_GetSystemTime
0xffaa61ac,_log
0xffaa6854,_log10
0xffaa6d44,_pow
0xffaab090,_sqrt
0xff822dd4,AcquireRecursiveLock
0xff9709f4,AddItemToDialogBox_FW
0xff81a9bc,AllocateMemory
0xff81a9bc,AllocateMemory_FW
0xff813ec0,AllocateUncacheableMemory
0xff88f06c,Angel.Dump_FW
0xff88f020,Angel.Test_FW
0xff8adbe8,apex2us
0xff815248,CancelHPTimer
0xff8145ec,CancelTimer
0xff89f810,Capture.Delete_FW
0xff81fb3c,CheckAllEventFlag
0xff81fb2c,CheckAnyEventFlag
0xff81a5c0,CheckSumAll_FW
0xff81ff3c,ClearEventFlag
0xff86a944,Close
0xffab9c2c,close
0xff86a944,Close_FW
0xff81b89c,CloseConsole_FW
0xffab5bcc,closedir
0xff971d68,ControlEventHandler_FW
0xff81b5bc,CPrintf_FW
0xff81b620,CPutChar_FW
0xff820eb8,CreateBinarySemaphore
0xff823070,CreateBinarySemaphoreStrictly
0xff962144,CreateController_FW
0xff820ec8,CreateCountingSemaphore
0xff820ec8,CreateCountingSemaphore_FW
0xff82309c,CreateCountingSemaphoreStrictly
0xff970598,CreateDialogBox_FW
0xff971b60,CreateDialogItem_FW
0xff9e7e04,CreateDpConnectController_FW
0xff81f840,CreateEventFlag
0xff823044,CreateEventFlagStrictly
0xff82021c,CreateMessageQueue
0xff823018,CreateMessageQueueStrictly
0xff816b50,CreateProxyOfEventProcedure_FW
0xff822be0,CreateRecursiveLock
0xff8230c8,CreateRecursiveLockStrictly
0xff821a10,CreateTask
0xff821a10,CreateTask_FW
0xff822fd8,CreateTaskStrictly
0xff9fdeac,DBG_changeTraceLevel_FW
0xff813e68,DebugAssert
0xff9621fc,DeleteController_FW
0xff970780,DeleteDialogBox_FW
0xff970908,DeleteDialogBoxAfterGetTopOfControl_FW
0xff971c50,DeleteDialogItem_FW
0xff9e8000,DeleteDpConnectController_FW
0xff81f94c,DeleteEventFlag
0xff8635f0,DeleteFile_Fut
0xff970ac8,DeleteItemFromDialogBox_FW
0xff82036c,DeleteMessageQueue
0xff974934,DeletePalette_FW
0xff816bd8,DeleteProxyOfEventProcedure_FW
0xff822cfc,DeleteRecursiveLock
0xff820fd4,DeleteSemaphore
0xff820fd4,DeleteSemaphore_FW
0xff9675f0,DisableAutoShutdown_FW
0xff8d0d60,DisableOBClampField_FW
0xff97b6ac,DisableRefreshPhysicalScreen_FW
0xff931b70,DispCon_ShowBitmapColorBar
0xff970fa4,DisplayDialogBox_FW
0xff94efcc,DoAFLock,(stubs_entry_2.s)
0xff971390,DrawBinaryBitmapToDialog_FW
0xff971cd0,DrawDialogItem_FW
0xff971240,DrawStringToDialog_FW
0xff81a894,Dump32_FW
0xffa969d4,DumpScript_FW
0xff967608,EnableAutoShutdown_FW
0xff8201d0,EnableInterrupt
0xff8d0d48,EnableOBClampField_FW
0xff97b698,EnableRefreshPhysicalScreen_FW
0xff87ee6c,EngDrvBits
0xff87ee38,EngDrvOut
0xff87ee58,EngDrvRead
0xff89f66c,EngineDriver.Delete_FW
0xff98de94,EnterToDisplayOff_FW
0xffa9e540,EraseLogSector_FW
0xff8235b8,EraseSectorOfRom_FW
0xff81aaa0,EraseSignature_FW
0xffab6398,errnoOfTaskGet
0xff816164,ExecuteEventProcedure
0xff816164,ExecuteEventProcedure_FW
0xffa957d0,ExecuteFirmUpgrade_FW
0xff98baf0,ExecuteResetFactoryWithRomWrite_FW
0xff821dd0,ExitTask
0xff821dd0,ExitTask_FW
0xff816380,ExportToEventProcedure_FW
0xffa6be50,FA.Delete_FW
0xff863730,Fclose_Fut
0xff863944,Feof_Fut
0xff86397c,Fflush_Fut
0xff8638b4,Fgets_Fut
0xff9711e0,FillRectangleToDialog_FW
0xff8636f4,Fopen_Fut
0xff863814,Fread_Fut
0xff81a9a8,FreeMemory
0xff81a9a8,FreeMemory_FW
0xff813ef4,FreeUncacheableMemory
0xff8638fc,Fseek_Fut
0xff863864,Fwrite_Fut
0xffa480c4,GetAdChValue_FW
0xffa48104,GetAdVBattBottom_FW
0xff971f40,GetAttributeFromDialogItem_FW
0xffa4da78,GetBatteryTemperature
0xff81a400,GetBuildDate_FW
0xff81a418,GetBuildTime_FW
0xffa4da64,GetCCDTemperature
0xff81b654,GetCh_FW
0xffa4f354,GetCurrentAvValue,(stubs_entry_2.s)
0xff98febc,GetCurrentCaptureModeType_FW
0xffa71348,GetCurrentTargetDistance
0xff9713f8,GetDialogBoxWindow_FW
0xff9720a0,GetDialogItemPosition_FW
0xff971694,GetDialogItemPositionToDialog_FW
0xff972120,GetDialogItemResolution_FW
0xff9716c8,GetDialogItemResolutionToDialog_FW
0xff86a150,GetDrive_ClusterSize,(stubs_entry_2.s)
0xff86a1c8,GetDrive_FreeClusters,(stubs_entry_2.s)
0xff86a18c,GetDrive_TotalClusters,(stubs_entry_2.s)
0xff81ff8c,GetEventFlagValue
0xff81a43c,GetFirmwareVersion_FW
0xff970ecc,GetFocusedItemIDOfDialogItem_FW
0xffa64c98,GetFocusLensSubjectDistance,(stubs_entry_2.s)
0xff971488,GetFocusScopeToDialog_FW
0xff970f04,GetItemHandleOfDialogBox_FW
0xffa9e490,GetLogToFile_FW
0xff967b98,GetMainPowerLockCounter_FW
0xff820d14,GetNumberOfPostedMessages
0xffa4da50,GetOpticalTemperature
0xff974b44,GetPaletteFromPhysicalScreen_FW
0xff825ca4,GetPropertyCase,(stubs_entry_2.s)
0xff971e58,GetPropertyFromDialogItem_FW
0xff97095c,GetPropertyFromDialogItemWithID_FW
0xff96246c,GetSelfControllerHandle_FW
0xff82149c,GetSemaphoreValue
0xff8201a4,GetSRAndDisableInterrupt
0xff81b6b8,GetStringWithPrompt_FW
0xff81aad0,GetSystemTime_FW
0xff822a30,GetTimeOfSystem_FW
0xffa56fbc,GetZoomLensCurrentPoint
0xffa56fd0,GetZoomLensCurrentPosition
0xff8213c8,GiveSemaphore
0xff8213c8,GiveSemaphore_FW
0xffa6c560,InitializeAdjustmentSystem_FW
0xff89f754,InPort_FW
0xff971a84,InstallDialogItem_FW
0xff9dc1e0,InstallMyCameraMenu_FW
0xffa9f294,IntenseLED_FW
0xffabae4c,iosDevAdd
0xffabae24,iosDevDelete
0xffabb110,iosDrvInstall
0xffaafb40,isalpha
0xff9dd1b4,IsCalledStopEVF_FW
0xff96622c,IsControlEventActive_FW
0xffaafb70,isdigit
0xff967504,IsDisableAutoShutdown_FW
0xff97b6c0,IsEnableRefreshPhysicalScreen_FW
0xffaafba0,islower
0xffaafbd0,ispunct
0xffaafbe8,isspace
0xff9086f0,IsStrobeChargeCompleted
0xffaafc00,isupper
0xffaafc18,isxdigit
0xffa476fc,kbd_pwr_off,(stubs_entry_2.s)
0xff971848,KeepDefaultMoveFocusEventToDialog_FW
0xffa96994,LoadScript_FW
0xff813e2c,LocalTime
0xff98dedc,LockEnterToDisplayOff_FW
0xff9679d4,LockMainPower
0xff9679d4,LockMainPower_FW
0xff97b538,LockPhysicalScreen_FW
0xff971744,LockRefreshDialog_FW
0xff81772c,LogCameraEvent
0xff965044,LogiEvnt_LoadCameraLog_FW
0xff86a9c8,Lseek
0xffab9d70,lseek
0xff86a9c8,Lseek_FW
0xff89d6d4,Lucky.Dump_FW
0xff89d698,Lucky.Test_FW
0xffa95170,MakeBootDisk_FW
0xff86367c,MakeDirectory_Fut
0xffa95184,MakeScriptDisk_FW
0xffabcc6c,malloc_alt
0xffab376c,memchr
0xffab37a0,memcmp
0xffab37a0,memcmp_FW
0xffab37dc,memcpy
0xffab37dc,memcpy_FW
0xffa9f6b0,MemoryChecker_FW
0xffabd08c,memPartInfoGet
0xffab3854,memset
0xffab3854,memset_FW
0xffabd07c,memShow_FW
0xffab4588,mktime
0xff986894,ModeLevelMovieRecForScript_FW
0xff9868d4,ModeLevelPlayForScript_FW
0xff986854,ModeLevelStillRecForScript_FW
0xff81aaf0,MonSelEvent_FW
0xff962334,MoveControllerToTopOfZOrder_FW
0xff970868,MoveDialogBoxPosition_FW
0xff971584,MoveDialogControllerToTopOfZOrder_FW
0xff971fac,MoveDialogItemPosition_FW
0xff97162c,MoveDialogItemPositionToDialog_FW
0xffa715d8,MoveFocusLensToDistance
0xff9714d4,MoveViewPortPosition_FW
0xffa56e38,MoveZoomLensWithPoint
0xff957b20,NR_GetDarkSubType
0xff957a80,NR_SetDarkSubType
0xff86a938,Open
0xffaba270,open
0xff86a938,Open_FW
0xff81b74c,OpenConsole_FW
0xffab5c00,opendir
0xff89f740,OutPort_FW
0xff81aa68,Peek16_FW
0xff81aa4c,Peek32_FW
0xff81aa84,Peek8_FW
0xff81aa04,Poke16_FW
0xff81a9e0,Poke32_FW
0xff81aa28,Poke8_FW
0xff964e84,PostEventShootSeqToUI_FW
0xff964d60,PostLogicalEventForNotPowerType
0xff964d60,PostLogicalEventForNotPowerType_FW
0xff964dec,PostLogicalEventToUI
0xff964dec,PostLogicalEventToUI_FW
0xff8209c0,PostMessageQueue
0xffa969bc,Printf_FW
0xff9605a0,PT_atoi_FW
0xff960aa8,PT_BatLvChange_Low_FW
0xff960ab0,PT_BatLvChange_SysLow_FW
0xff960aa0,PT_BatLvChange_Weak_FW
0xff960564,PT_EraseAllFile_FW
0xff960b3c,PT_FinishBatteryTest_FW
0xff960c30,PT_GetBatteryLevel_FW
0xff960664,PT_GetCaptureCount_FW
0xff9605ec,PT_GetCaptureCountAll_FW
0xff960674,PT_GetCaptureSuccess_FW
0xff960904,PT_GetLocalDateAndTimeString_FW
0xff9608a0,PT_GetLocalDateString_FW
0xff960844,PT_GetLocalTimeString_FW
0xff960ca0,PT_GetLowBatLv_FW
0xff960798,PT_GetPropertyCaseInt_FW
0xff960784,PT_GetPropertyCaseString_FW
0xff960684,PT_GetStrobeCount_FW
0xff960694,PT_GetStrobeSuccess_FW
0xff960cf8,PT_GetSysLowBatLv_FW
0xff9605ac,PT_GetSystemTime
0xff9605ac,PT_GetSystemTime_FW
0xff960c48,PT_GetWeakBatLv_FW
0xff9609b0,PT_LCD_BkColor_FW
0xff960a6c,PT_LCD_BkColorDef_FW
0xff960594,PT_mod_FW
0xff9600d0,PT_PlaySound,(stubs_entry_2.s)
0xff960998,PT_PlaySound_FW
0xff960954,PT_SetMessage_FW
0xff96075c,PT_SetPropertyCaseInt_FW
0xff960748,PT_SetPropertyCaseString_FW
0xff9606e8,PT_ShowCaptureCount_FW
0xff960ad8,PT_StartBatteryTest_FW
0xff96097c,PT_UndispMessage_FW
0xff960604,PT_UpCaptureCount_FW
0xff96061c,PT_UpCaptureSuccess_FW
0xff960634,PT_UpStrobeCount_FW
0xff96064c,PT_UpStrobeSuccess_FW
0xffa300cc,PTPRspnd.ShowRemoteStg_FW
0xff817794,PutsCameraLogEvent_FW
0xffab3000,qsort
0xffab3024,rand
0xff86a9a4,Read
0xffab9c8c,read
0xff86a9a4,Read_FW
0xffab5b98,readdir
0xffa9d7ac,realloc
0xff8205a8,ReceiveMessageQueue
0xff97b5c8,RefreshPhysicalScreen
0xff97b5c8,RefreshPhysicalScreen_FW
0xff971040,RefreshRectangleToDialog_FW
0xff97116c,RefreshRegistedRectangleToDialog_FW
0xff9715a8,RegisterChangeLanguageToDialog_FW
0xff815fe0,RegisterEventProcedure_FW
0xff820168,RegisterInterruptHandler
0xff9710a8,RegisterRefreshToDialog_FW
0xff822efc,ReleaseRecursiveLock
0xff86a950,Remove,(stubs_entry_2.s)
0xff863570,RenameFile_Fut
0xffa65d14,ResetFocusLens
0xffa56cf4,ResetZoomLens
0xff971538,ResizeDialogBox_FW
0xff972020,ResizeDialogItem_FW
0xff971660,ResizeDialogItemToDialog_FW
0xff97083c,ResizeVirtualWindow_FW
0xff8233a0,Restart,(stubs_entry_2.s)
0xff81a52c,RomCheckSum_FW
0xff81b514,RotateConsoleZOder_FW
0xffa7393c,SetAE_ShutterSpeed
0xff971ecc,SetAttributeToDialogItem_FW
0xff9678cc,SetAutoShutdownTime
0xff9678cc,SetAutoShutdownTime_FW
0xff970fec,SetBackgroundColorToDialogBox_FW
0xff976eb4,SetCurrentPalette_FW
0xff971720,SetDefaultMovingFocusToDialog_FW
0xff81fda0,SetEventFlag
