0xff8136ec,_GetSystemTime
0xff912db4,_log
0xff90fb5c,_log10
0xff90fcdc,_pow
0xff911b9c,_sqrt
0xffb15778,AcquireRecursiveLock
0xff901384,AddItemToDialogBox_FW
0xff818664,AllocateMemory
0xff818664,AllocateMemory_FW
0xff81e5a4,AllocateUncacheableMemory
0xff931648,apex2us
0xff9174cc,atol_FW
0xffa2bab4,BatVoltageToAd_FW
0xff814644,CancelHPTimer
0xff813954,CancelTimer
0xff92f2f4,Capture.Delete_FW
0xffb12c90,CheckAllEventFlag
0xffb12c80,CheckAnyEventFlag
0xff8181a0,CheckSumAll_FW
0xffb13090,ClearEventFlag
0xffa9a008,Close
0xff91d180,close
0xffa9a008,Close_FW
0xff81951c,CloseConsole_FW
0xffb526c0,closedir
0xff902504,ControlEventHandler_FW
0xff819254,CPrintf_FW
0xff8192b8,CPutChar_FW
0xffb13df8,CreateBinarySemaphore
0xffb15948,CreateBinarySemaphoreStrictly
0xffb2ecb8,CreateController_FW
0xffb13ee0,CreateCountingSemaphore
0xffb13ee0,CreateCountingSemaphore_FW
0xffb15974,CreateCountingSemaphoreStrictly
0xff900e7c,CreateDialogBox_FW
0xff9022fc,CreateDialogItem_FW
0xff8c2618,CreateDpConnectController_FW
0xffb129d4,CreateEventFlag
0xffb1591c,CreateEventFlagStrictly
0xffb132c0,CreateMessageQueue
0xffb158f0,CreateMessageQueueStrictly
0xff887d60,CreatePlayMyColController_FW
0xff8153d8,CreateProxyOfEventProcedure_FW
0xffb155c4,CreateRecursiveLock
0xffb159a0,CreateRecursiveLockStrictly
0xffb14810,CreateTask
0xffb14810,CreateTask_FW
0xffb158b0,CreateTaskStrictly
0xff8e15fc,DBG_changeTraceLevel_FW
0xffb2071c,DebugAssert
0xffb2ed7c,DeleteController_FW
0xff901078,DeleteDialogBox_FW
0xff901298,DeleteDialogBoxAfterGetTopOfControl_FW
0xff9023ec,DeleteDialogItem_FW
0xff8c288c,DeleteDpConnectController_FW
0xffb12ae0,DeleteEventFlag
0xffa955dc,DeleteFile_Fut
0xff901458,DeleteItemFromDialogBox_FW
0xffb13410,DeleteMessageQueue
0xff903fe0,DeletePalette_FW
0xff887db0,DeletePlayMyColController_FW
0xff815460,DeleteProxyOfEventProcedure_FW
0xffb156e0,DeleteRecursiveLock
0xffb13ff8,DeleteSemaphore
0xffb13ff8,DeleteSemaphore_FW
0xffb3684c,DisableAutoShutdown_FW
0xff9aff00,DisableOBClampField_FW
0xff90bd00,DisableRefreshPhysicalScreen_FW
0xffa242d4,DispCon_ShowBitmapColorBar
0xff901740,DisplayDialogBox_FW
0xffafa7b8,DoAFLock
0xff901b54,DrawBinaryBitmapToDialog_FW
0xff90246c,DrawDialogItem_FW
0xff901a04,DrawStringToDialog_FW
0xff818640,Dump32_FW
0xff818464,Dump_FW
0xffb36864,EnableAutoShutdown_FW
0xffb13280,EnableInterrupt
0xff9afee8,EnableOBClampField_FW
0xff90bcec,EnableRefreshPhysicalScreen_FW
0xff8e5710,EndClockMode_FW
0xffa3da94,EngDrvBits
0xffa3da78,EngDrvIn
0xffa3da60,EngDrvOut
0xffa3da80,EngDrvRead
0xffa4caa4,EngineDriver.Delete_FW
0xffb10cec,EraseLogSector_FW
0xffb18304,EraseSectorOfRom_FW
0xff8186f8,EraseSignature_FW
0xff91add4,errnoOfTaskGet
0xff818780,exec_FW
0xff814a58,ExecuteEventProcedure
0xff814a58,ExecuteEventProcedure_FW
0xff824c18,ExecuteResetFactoryWithRomWrite_FW
0xffafabe4,ExitFromCompensationEVF
0xffb14bd0,ExitTask
0xffb14bd0,ExitTask_FW
0xff81d554,ExMem.AllocCacheable_FW
0xff81d528,ExMem.AllocUncacheable_FW
0xff81d56c,ExMem.FreeCacheable_FW
0xff81d540,ExMem.FreeUncacheable_FW
0xff81e500,exmem_free
0xff8153c0,ExportToEventProcedure_FW
0xffa5dbc0,FA.Delete_FW
0xffa95750,Fclose_Fut
