0xff814f64,_GetSystemTime
0xffabfbb4,_log
0xffac025c,_log10
0xffac074c,_pow
0xffac4a98,_sqrt
0xff8234c0,AcquireRecursiveLock
0xff969f20,AddItemToDialogBox_FW
0xff81b33c,AllocateMemory
0xff81b33c,AllocateMemory_FW
0xff814d2c,AllocateUncacheableMemory
0xff8ac734,apex2us
0xff82b38c,BatVoltageToAd_FW
0xff815e28,CancelHPTimer
0xff8151cc,CancelTimer
0xff8a1ca8,Capture.Delete_FW
0xff820484,CheckAllEventFlag
0xff820474,CheckAnyEventFlag
0xff81af38,CheckSumAll_FW
0xff820884,ClearEventFlag
0xff86f788,Close
0xffad3634,close
0xff86f788,Close_FW
0xff81c334,CloseConsole_FW
0xffacf5d4,closedir
0xff96b334,ControlEventHandler_FW
0xff81c068,CPrintf_FW
0xff81c0cc,CPutChar_FW
0xff821690,CreateBinarySemaphore
0xff823710,CreateBinarySemaphoreStrictly
0xff959134,CreateController_FW
0xff821778,CreateCountingSemaphore
0xff821778,CreateCountingSemaphore_FW
0xff82373c,CreateCountingSemaphoreStrictly
0xff969aa4,CreateDialogBox_FW
0xff96b12c,CreateDialogItem_FW
0xffa09d18,CreateDpConnectController_FW
0xff820188,CreateEventFlag
0xff8236e4,CreateEventFlagStrictly
0xff820b18,CreateMessageQueue
0xff8236b8,CreateMessageQueueStrictly
0xff817630,CreateProxyOfEventProcedure_FW
0xff8232cc,CreateRecursiveLock
0xff823768,CreateRecursiveLockStrictly
0xff822274,CreateTask
0xff822274,CreateTask_FW
0xff823678,CreateTaskStrictly
0xffa21550,DBG_changeTraceLevel_FW
0xff813bfc,DebugAssert
0xff9591ec,DeleteController_FW
0xff969cac,DeleteDialogBox_FW
0xff969e34,DeleteDialogBoxAfterGetTopOfControl_FW
0xff96b21c,DeleteDialogItem_FW
0xffa09f68,DeleteDpConnectController_FW
0xff820294,DeleteEventFlag
0xff86866c,DeleteFile_Fut
0xff969ff4,DeleteItemFromDialogBox_FW
0xff820c68,DeleteMessageQueue
0xff96ea50,DeletePalette_FW
0xff8176b8,DeleteProxyOfEventProcedure_FW
0xff8233e8,DeleteRecursiveLock
0xff821884,DeleteSemaphore
0xff821884,DeleteSemaphore_FW
0xff95fe30,DisableAutoShutdown_FW
0xff8cbc20,DisableOBClampField_FW
0xff975944,DisableRefreshPhysicalScreen_FW
0xff922db0,DispCon_ShowBitmapColorBar
0xff96a4d0,DisplayDialogBox_FW
0xff94aacc,DoAFLock
0xff96a8e4,DrawBinaryBitmapToDialog_FW
0xff96b29c,DrawDialogItem_FW
0xff96a794,DrawStringToDialog_FW
0xff81b214,Dump32_FW
0xff95fe48,EnableAutoShutdown_FW
0xff820acc,EnableInterrupt
0xff8cbc08,EnableOBClampField_FW
0xff975930,EnableRefreshPhysicalScreen_FW
0xff880c90,EngDrvBits
0xff880c74,EngDrvIn
0xff880c5c,EngDrvOut
0xff880c7c,EngDrvRead
0xff8a1b0c,EngineDriver.Delete_FW
0xffab8b00,EraseLogSector_FW
0xff823ca4,EraseSectorOfRom_FW
0xff81b420,EraseSignature_FW
0xffacfda0,errnoOfTaskGet
0xff81b4a8,exec_FW
0xff816c44,ExecuteEventProcedure
0xff816c44,ExecuteEventProcedure_FW
0xffab0928,ExecuteFirmUpgrade_FW
0xff9883c4,ExecuteResetFactoryWithRomWrite_FW
0xff822634,ExitTask
0xff822634,ExitTask_FW
0xff81295c,exmem_alloc
0xff816e60,ExportToEventProcedure_FW
0xffa84d2c,FA.Delete_FW
0xff8687ac,Fclose_Fut
0xff8687ac,Fclose_Fut_FW
0xff8689c0,Feof_Fut
0xff8689f8,Fflush_Fut
0xff868930,Fgets_Fut
0xff96a734,FillRectangleToDialog_FW
0xffa02ec8,FmtMenu_ExecuteQuickFormat_FW
0xff868770,Fopen_Fut
0xff868770,Fopen_Fut_FW
0xff868890,Fread_Fut
0xff868890,Fread_Fut_FW
0xff81b328,FreeMemory
0xff81b328,FreeMemory_FW
0xff814d60,FreeUncacheableMemory
0xff868978,Fseek_Fut
0xff868978,Fseek_Fut_FW
0xff8688e0,Fwrite_Fut
0xff8688e0,Fwrite_Fut_FW
0xff829c70,GetAdChValue_FW
0xff829cb0,GetAdVBattBottom_FW
0xff96b50c,GetAttributeFromDialogItem_FW
0xff82d5ac,GetBatteryTemperature
0xff81ad80,GetBuildDate_FW
0xff81ad98,GetBuildTime_FW
0xff82d598,GetCCDTemperature
0xff81c100,GetCh_FW
0xffa8adcc,GetCurrentAvValue
0xff98cac0,GetCurrentCaptureModeType_FW
0xffa8ad74,GetCurrentTargetDistance
0xff96a94c,GetDialogBoxWindow_FW
0xff96b66c,GetDialogItemPosition_FW
0xff96abe8,GetDialogItemPositionToDialog_FW
0xff96b6ec,GetDialogItemResolution_FW
0xff96ac1c,GetDialogItemResolutionToDialog_FW
0xff86ef64,GetDrive_ClusterSize
0xff86efdc,GetDrive_FreeClusters
0xff86efa0,GetDrive_TotalClusters
0xff8208d4,GetEventFlagValue
0xff81adbc,GetFirmwareVersion_FW
0xff96a3f8,GetFocusedItemIDOfDialogItem_FW
0xff96a9dc,GetFocusScopeToDialog_FW
0xff96a430,GetItemHandleOfDialogBox_FW
0xff82879c,GetKbdState
0xff82b350,GetLBOffset_FW
0xff95c15c,GetLogicalEventName
0xffab8a20,GetLogToFile_FW
0xff960370,GetMainPowerLockCounter_FW
0xff821610,GetNumberOfPostedMessages
0xff82d584,GetOpticalTemperature
0xff96ec60,GetPaletteFromPhysicalScreen_FW
0xff964cd8,GetParameterData
0xff825530,GetPropertyCase
0xff96b424,GetPropertyFromDialogItem_FW
0xff969e88,GetPropertyFromDialogItemWithID_FW
0xff95945c,GetSelfControllerHandle_FW
0xff821d4c,GetSemaphoreValue
0xff820aa0,GetSRAndDisableInterrupt
0xff81c164,GetStringWithPrompt_FW
0xff81b450,GetSystemTime_FW
0xff814a04,GetTimeOfSystem_FW
0xffa6f178,GetZoomLensCurrentPoint
0xffa6f18c,GetZoomLensCurrentPosition
0xff821c78,GiveSemaphore
0xff821c78,GiveSemaphore_FW
0xffa85580,InitializeAdjustmentFunction_FW
0xffa854f0,InitializeAdjustmentSystem_FW
0xff8a1be8,InPort_FW
0xff96b050,InstallDialogItem_FW
0xff9f8b38,InstallMyCameraMenu_FW
0xffad4854,iosDevAdd
0xffad482c,iosDevDelete
0xffad4b18,iosDrvInstall
0xffac9548,isalpha
0xff9f9ab0,IsCalledStopEVF_FW
0xff95e1c4,IsControlEventActive
0xff95e1c4,IsControlEventActive_FW
0xffac9578,isdigit
0xff95fd44,IsDisableAutoShutdown_FW
0xff975958,IsEnableRefreshPhysicalScreen_FW
0xffac95a8,islower
0xffac95d8,ispunct
0xffac95f0,isspace
0xff8fe628,IsStrobeChargeCompleted
0xffac9608,isupper
0xffac9620,isxdigit
0xff82752c,kbd_p1_f
0xff827538,kbd_p1_f_cont
0xff827910,kbd_p2_f
0xff828888,kbd_pwr_off
0xff8275f8,kbd_read_keys
0xff828320,kbd_read_keys_r2
0xff96ad9c,KeepDefaultMoveFocusEventToDialog_FW
0xffab1b14,LoadScript_FW
0xff814284,LocalTime
0xff9601ac,LockMainPower
0xff9601ac,LockMainPower_FW
0xff9757d0,LockPhysicalScreen_FW
0xff96ac98,LockRefreshDialog_FW
0xff8180e4,LogCameraEvent
0xff95c4d8,LogiEvnt_LoadCameraLog_FW
0xff82b378,LowBat_Result_Print_Off_FW
0xff82b360,LowBat_Result_Print_On_FW
0xff86f870,Lseek
0xffad3778,lseek
0xff86f870,Lseek_FW
0xffaafec4,MakeBootDisk_FW
0xff8686f8,MakeDirectory_Fut
0xffaafed8,MakeScriptDisk_FW
0xffad6674,malloc_alt
0xffacd174,memchr
0xffacd1a8,memcmp
0xffacd1a8,memcmp_FW
0xffacd1e4,memcpy
0xffacd1e4,memcpy_FW
0xffab9da8,MemoryChecker_FW
0xffad6a94,memPartInfoGet
0xffacd25c,memset
0xffacd25c,memset_FW
0xffad6a84,memShow_FW
0xff86f9a4,mkdir
0xffacdf90,mktime
0xff982cd0,ModeLevelMovieRecForScript_FW
0xff982cdc,ModeLevelPlayForScript_FW
0xff982cc4,ModeLevelStillRecForScript_FW
0xff81b470,MonSelEvent_FW
0xff959324,MoveControllerToTopOfZOrder_FW
0xff969d94,MoveDialogBoxPosition_FW
0xff96aad8,MoveDialogControllerToTopOfZOrder_FW
0xff96b578,MoveDialogItemPosition_FW
0xff96ab80,MoveDialogItemPositionToDialog_FW
0xffa8b004,MoveFocusLensToDistance
0xff96aa28,MoveViewPortPosition_FW
0xffa6f058,MoveZoomLensWithPoint
0xff9531c8,NR_GetDarkSubType
0xff953138,NR_SetDarkSubType
0xff86f760,Open
0xffad3c78,open
0xff86f760,Open_FW
0xff81c1e8,OpenConsole_FW
0xffacf608,opendir
0xff8a1bd4,OutPort_FW
0xff98564c,PB2Rec
0xff81b3e8,Peek16_FW
0xff81b3cc,Peek32_FW
0xff81b404,Peek8_FW
0xff81b384,Poke16_FW
0xff81b360,Poke32_FW
0xff81b3a8,Poke8_FW
0xff95c318,PostEventShootSeqToUI_FW
0xff95c1f4,PostLogicalEventForNotPowerType
0xff95c1f4,PostLogicalEventForNotPowerType_FW
0xff95c280,PostLogicalEventToUI
0xff95c280,PostLogicalEventToUI_FW
0xff8212bc,PostMessageQueue
0xff812e00,printclock_FW
0xffab1b38,Printf_FW
0xff957814,PT_atoi_FW
0xff957ba8,PT_BatLvChange_Low_FW
0xff957b98,PT_BatLvChange_PreWeak_FW
0xff957bb0,PT_BatLvChange_SysLow_FW
0xff957ba0,PT_BatLvChange_Weak_FW
0xff9577d8,PT_EraseAllFile_FW
0xff957c28,PT_FinishBatteryTest_FW
0xff957d20,PT_GetBatteryLevel_FW
0xff9579fc,PT_GetLocalDateAndTimeString_FW
0xff957998,PT_GetLocalDateString_FW
0xff95793c,PT_GetLocalTimeString_FW
0xff957de8,PT_GetLowBatLv_FW
0xff957d38,PT_GetPreWeakBatLv_FW
0xff957890,PT_GetPropertyCaseInt_FW
0xff95787c,PT_GetPropertyCaseString_FW
0xff957e40,PT_GetSysLowBatLv_FW
0xff957820,PT_GetSystemTime
0xff957820,PT_GetSystemTime_FW
0xff957d90,PT_GetWeakBatLv_FW
0xff957aa8,PT_LCD_BkColor_FW
0xff957b64,PT_LCD_BkColorDef_FW
0xff957808,PT_mod_FW
0xff957a90,PT_PlaySound
0xff957a90,PT_PlaySound_FW
0xff957a4c,PT_SetMessage_FW
0xff957854,PT_SetPropertyCaseInt_FW
0xff957840,PT_SetPropertyCaseString_FW
0xff957bc8,PT_StartBatteryTest_FW
0xff957a74,PT_UndispMessage_FW
0xff962f88,PTM_RestoreUIProperty_FW
0xffa52acc,PTPRspnd.ShowRemoteStg_FW
0xff81814c,PutsCameraLogEvent_FW
0xffacca08,qsort
0xffacca2c,rand
0xff86f81c,Read
0xffad3694,read
0xff86f81c,Read_FW
0xffacf5a0,readdir
0xffab7ce8,realloc
0xff98568c,Rec2PB
0xff820ea4,ReceiveMessageQueue
0xff975860,RefreshPhysicalScreen
0xff975860,RefreshPhysicalScreen_FW
0xff96a574,RefreshRectangleToDialog_FW
0xff96a6c0,RefreshRegistedRectangleToDialog_FW
0xff96aafc,RegisterChangeLanguageToDialog_FW
0xff816ac0,RegisterEventProcedure_FW
0xff820a64,RegisterInterruptHandler
0xff96a5fc,RegisterRefreshToDialog_FW
0xff8235e8,ReleaseRecursiveLock
0xff86f7a8,Remove
0xff8685ec,RenameFile_Fut
0xffa7f7e4,ResetFocusLens
0xffa6ef40,ResetZoomLens
0xff96aa8c,ResizeDialogBox_FW
0xff96b5ec,ResizeDialogItem_FW
0xff96abb4,ResizeDialogItemToDialog_FW
0xff969d68,ResizeVirtualWindow_FW
0xff823ac0,Restart
0xff81aea4,RomCheckSum_FW
0xff81bfc0,RotateConsoleZOder_FW
0xffab1b50,ScriptDisEnabled_FW
0xffab1b64,ScriptEnabled_FW
0xff95df7c,set_control_event
0xffa8e0b8,SetAE_ShutterSpeed
0xff96b498,SetAttributeToDialogItem_FW
0xff9600a4,SetAutoShutdownTime
0xff9600a4,SetAutoShutdownTime_FW
0xff96a520,SetBackgroundColorToDialogBox_FW
0xff82ae78,SetBattCheckMode_FW
0xff98ca70,SetCurrentCaptureModeType
0xff98ca70,SetCurrentCaptureModeType_FW
0xff9710f8,SetCurrentPalette_FW
0xff96ac74,SetDefaultMovingFocusToDialog_FW
0xff8206e8,SetEventFlag
0xff86f974,SetFileAttributes
0xff96a0e0,SetFocusDirectionToDialogItem_FW
0xff96a2e4,SetFocusItemToDialogItem_FW
0xff96a96c,SetFocusScopeToDialog_FW
0xff813054,SetHClk18MHz_FW
0xff81302c,SetHClk36MHz_FW
0xff812fe8,SetHClk72MHz_FW
0xff8159b4,SetHPTimerAfterNow
0xff815a40,SetHPTimerAfterTimeout
0xff812f40,SetLClk18MHz_FW
0xff812f30,SetLClk36MHz_FW
0xff812f20,SetLClk72MHz_FW
0xff95e250,SetLogicalEventActive
0xff813104,SetMClk18MHz_FW
0xff8130dc,SetMClk36MHz_FW
0xff813098,SetMClk72MHz_FW
0xff96ac50,SetOriginTypeToDialog_FW
0xff96ec08,SetPaletteToPhysicalScreen_FW
0xff964bf8,SetParameterData
0xff825414,SetPropertyCase
