0xff811ac4,wrapped_malloc
0xff812e24,printclock_FW
0xff812f28,StopClockSaver_FW
0xff812f44,SetLClk72MHz_FW
0xff812f54,SetLClk36MHz_FW
0xff812f64,SetLClk18MHz_FW
0xff81300c,SetHClk72MHz_FW
0xff813050,SetHClk36MHz_FW
0xff813078,SetHClk18MHz_FW
0xff8130bc,SetMClk72MHz_FW
0xff813100,SetMClk36MHz_FW
0xff813128,SetMClk18MHz_FW
0xff813b80,DebugAssert
0xff814208,LocalTime
0xff814988,GetTimeOfSystem_FW
0xff814cb0,AllocateUncacheableMemory
0xff814ce4,FreeUncacheableMemory
0xff814ee8,_GetSystemTime
0xff81503c,SetTimerAfter
0xff8150d8,SetTimerWhen
0xff815150,CancelTimer
0xff815938,SetHPTimerAfterNow
0xff8159c4,SetHPTimerAfterTimeout
0xff815dac,CancelHPTimer
0xff816a44,RegisterEventProcedure_FW
0xff816bc8,ExecuteEventProcedure
0xff816bc8,ExecuteEventProcedure_FW
0xff816db0,ExportToEventProcedure_FW
0xff817548,CreateProxyOfEventProcedure_FW
0xff8175d0,DeleteProxyOfEventProcedure_FW
0xff818008,LogCameraEvent
0xff8180d8,PutsCameraLogEvent_FW
0xff8181e0,ShowCameraLogInfo_FW
0xff818284,ShowCameraLog_FW
0xff818564,StopCameraLog_FW
0xff81a384,StartWDT_FW
0xff81a400,StopWDT_FW
0xff81a574,GetBuildDate_FW
0xff81a58c,GetBuildTime_FW
0xff81a5b0,GetFirmwareVersion_FW
0xff81a698,RomCheckSum_FW
0xff81a72c,CheckSumAll_FW
0xff81a8e8,SystemEventDelete_FW
0xff81a9f4,Dump32_FW
0xff81ab08,FreeMemory
0xff81ab08,FreeMemory_FW
0xff81ab1c,AllocateMemory
0xff81ab1c,AllocateMemory_FW
0xff81ab2c,Wait_FW
0xff81ab40,Poke32_FW
0xff81ab64,Poke16_FW
0xff81ab88,Poke8_FW
0xff81abac,Peek32_FW
0xff81abc8,Peek16_FW
0xff81abe4,Peek8_FW
0xff81ac00,EraseSignature_FW
0xff81ac30,GetSystemTime_FW
0xff81ac50,MonSelEvent_FW
0xff81ac88,exec_FW
0xff81b684,RotateConsoleZOder_FW
0xff81b72c,CPrintf_FW
0xff81b790,CPutChar_FW
0xff81b7c4,GetCh_FW
0xff81b828,GetStringWithPrompt_FW
0xff81b8ac,OpenConsole_FW
0xff81b9f8,CloseConsole_FW
0xff81f848,CreateEventFlag
0xff81f954,DeleteEventFlag
0xff81faf4,CheckAnyEventFlag
0xff81fb04,CheckAllEventFlag
0xff81fba4,WaitForEventFlag
0xff81fd48,WaitForAnyEventFlag
0xff81fd58,WaitForAllEventFlag
0xff81fd68,SetEventFlag
0xff81ff04,ClearEventFlag
0xff81ff54,GetEventFlagValue
0xff82008c,RegisterInterruptHandler
0xff8200b0,UnregisterInterruptHandler
0xff8200c8,GetSRAndDisableInterrupt
0xff8200d4,SetSR
0xff8200f4,EnableInterrupt
0xff820134,CreateMessageQueue
0xff820284,DeleteMessageQueue
0xff820480,ReceiveMessageQueue
0xff8206f4,TryReceiveMessageQueue
0xff820898,PostMessageQueue
0xff820ac0,TryPostMessageQueue
0xff820bec,GetNumberOfPostedMessages
0xff820c6c,CreateBinarySemaphore
0xff820d54,CreateCountingSemaphore
0xff820d54,CreateCountingSemaphore_FW
0xff820e60,DeleteSemaphore
0xff820e60,DeleteSemaphore_FW
0xff82102c,TakeSemaphore
0xff82102c,TakeSemaphore_FW
0xff8211b0,TryTakeSemaphore
0xff821214,GiveSemaphore
0xff821214,GiveSemaphore_FW
0xff8212e8,GetSemaphoreValue
0xff821530,SleepTask
0xff821530,SleepTask_FW
0xff82161c,CreateTask
0xff82161c,CreateTask_FW
0xff8219dc,ExitTask
0xff8219dc,ExitTask_FW
0xff8223d0,CreateRecursiveLock
0xff8224ec,DeleteRecursiveLock
0xff822584,AcquireRecursiveLock
0xff8226ac,ReleaseRecursiveLock
0xff8226bc,CreateTaskStrictly
0xff8226fc,CreateMessageQueueStrictly
0xff822728,CreateEventFlagStrictly
0xff822754,CreateBinarySemaphoreStrictly
0xff822780,CreateCountingSemaphoreStrictly
0xff8227ac,CreateRecursiveLockStrictly
0xff822b34,Restart
0xff822c34,WriteToRom_FW
0xff822d0c,EraseSectorOfRom_FW
0xff8247c4,SetPropertyCase
0xff8248e0,GetPropertyCase
0xff826cf0,kbd_p1_f
0xff826cfc,kbd_p1_f_cont
0xff826dbc,kbd_read_keys
0xff8270d4,kbd_p2_f
0xff827a3c,kbd_read_keys_r2
0xff827ec8,GetKbdState
0xff827f08,kbd_pwr_off,(stubs_entry_2.s)
0xff829910,GetAdChValue_FW
0xff829950,GetAdVBattBottom_FW
0xff82aa88,SetBattCheckMode_FW
0xff82ab10,ShowBattCheckMode_FW
0xff82abbc,ShowBattChkAdj_FW
0xff82addc,GetLBOffset_FW
0xff82adec,LowBat_Result_Print_On_FW
0xff82ae04,LowBat_Result_Print_Off_FW
0xff82ae18,BatVoltageToAd_FW
0xff82c14c,VbattGet
0xff82c14c,VbattGet_FW
0xff82d1f0,GetOpticalTemperature
0xff82d204,GetCCDTemperature
0xff82d218,GetBatteryTemperature
0xff8686c4,RenameFile_Fut
0xff868744,DeleteFile_Fut
0xff8687d0,MakeDirectory_Fut
0xff868848,Fopen_Fut
0xff868848,Fopen_Fut_FW
0xff868884,Fclose_Fut
0xff868884,Fclose_Fut_FW
0xff868968,Fread_Fut
0xff868968,Fread_Fut_FW
0xff8689b8,Fwrite_Fut
0xff8689b8,Fwrite_Fut_FW
0xff868a08,Fgets_Fut
0xff868a50,Fseek_Fut
0xff868a50,Fseek_Fut_FW
0xff868a98,Feof_Fut
0xff868ad0,Fflush_Fut
0xff86e978,Unmount_FileSystem
0xff86eac8,UpdateMBROnFlash
0xff86ed90,GetDrive_ClusterSize
0xff86edcc,GetDrive_TotalClusters
0xff86ee08,GetDrive_FreeClusters
0xff86f57c,Open
0xff86f57c,Open_FW
0xff86f5a4,Close
0xff86f5a4,Close_FW
0xff86f5c4,Remove
0xff86f638,Read
0xff86f638,Read_FW
0xff86f644,Write
0xff86f644,write
0xff86f644,Write_FW
0xff86f68c,Lseek
0xff86f68c,Lseek_FW
0xff86f75c,SetFileAttributes
0xff86f78c,mkdir
0xff8804f4,EngDrvOut
0xff88050c,EngDrvIn
0xff880514,EngDrvRead
0xff880528,EngDrvBits
0xff8a0ad4,EngineDriver.Delete_FW
0xff8a0b98,OutPort_FW
0xff8a0bac,InPort_FW
0xff8a0c70,Capture.Delete_FW
0xff8b1db0,apex2us
0xff8d3748,EnableOBClampField_FW
0xff8d3760,DisableOBClampField_FW
0xff8e2890,VirtualImageTimeOut_FW
0xff95b464,UnlockAF,(stubs_entry_2.s)
0xff910478,IsStrobeChargeCompleted
0xff9339ac,DispCon_ShowBitmapColorBar
0xff95b420,DoAFLock,(stubs_entry_2.s)
0xff964184,NR_SetDarkSubType
0xff964214,NR_GetDarkSubType
0xff969288,PT_EraseAllFile_FW
0xff9692b8,PT_mod_FW
0xff9692c4,PT_atoi_FW
0xff9692d0,PT_GetSystemTime
0xff9692d0,PT_GetSystemTime_FW
0xff9692f0,PT_SetPropertyCaseString_FW
0xff969304,PT_SetPropertyCaseInt_FW
0xff96932c,PT_GetPropertyCaseString_FW
0xff969340,PT_GetPropertyCaseInt_FW
0xff9693ec,PT_GetLocalTimeString_FW
0xff969448,PT_GetLocalDateString_FW
0xff9694ac,PT_GetLocalDateAndTimeString_FW
0xff9694fc,PT_SetMessage_FW
0xff969524,PT_UndispMessage_FW
0xff969540,PT_PlaySound
0xff969540,PT_PlaySound_FW
0xff969558,PT_LCD_BkColor_FW
0xff969614,PT_LCD_BkColorDef_FW
0xff969648,PT_BatLvChange_PreWeak_FW
0xff969650,PT_BatLvChange_Weak_FW
0xff969658,PT_BatLvChange_Low_FW
0xff969660,PT_BatLvChange_SysLow_FW
0xff969678,PT_StartBatteryTest_FW
0xff9696d8,PT_FinishBatteryTest_FW
0xff9697d0,PT_GetBatteryLevel_FW
0xff9697e8,PT_GetPreWeakBatLv_FW
0xff969840,PT_GetWeakBatLv_FW
0xff969898,PT_GetLowBatLv_FW
0xff9698f0,PT_GetSysLowBatLv_FW
0xff969958,UiMemory_Show_FW
0xff96ad28,CreateController_FW
0xff96ade0,DeleteController_FW
0xff96af18,MoveControllerToTopOfZOrder_FW
0xff96b050,GetSelfControllerHandle_FW
0xff96df98,GetLogicalEventName
0xff96e030,PostLogicalEventForNotPowerType
0xff96e030,PostLogicalEventForNotPowerType_FW
0xff96e0ac,PostLogicalEventToUI
0xff96e0ac,PostLogicalEventToUI_FW
0xff96e134,PostEventShootSeqToUI_FW
0xff96e19c,ShowLogicalEventName_FW
0xff96e2e4,LogiEvnt_LoadCameraLog_FW
0xff96fb1c,set_control_event
0xff96fd6c,IsControlEventActive
0xff96fd6c,IsControlEventActive_FW
0xff96fdf8,SetLogicalEventActive
0xff96fe60,SetScriptMode
0xff96fe60,SetScriptMode_FW
0xff96fe70,UiEvnt_ShowBitMaps_FW
0xff96fed0,UiEvnt_StartDisguiseCradleStatus_FW
0xff96fee4,UiEvnt_StopDisguiseCradleStatus_FW
0xff971c50,IsDisableAutoShutdown_FW
0xff971d24,ShowAutoShutdownTime_FW
0xff971d58,DisableAutoShutdown_FW
0xff971d70,EnableAutoShutdown_FW
0xff972004,SetAutoShutdownTime
0xff972004,SetAutoShutdownTime_FW
0xff972100,LockMainPower
0xff972100,LockMainPower_FW
0xff972198,UnlockMainPower
0xff972198,UnlockMainPower_FW
0xff97229c,GetMainPowerLockCounter_FW
0xff9750b0,PTM_RestoreUIProperty_FW
0xff97bf40,CreateDialogBox_FW
0xff97c150,DeleteDialogBox_FW
0xff97c20c,ResizeVirtualWindow_FW
0xff97c238,MoveDialogBoxPosition_FW
0xff97c2d8,DeleteDialogBoxAfterGetTopOfControl_FW
0xff97c2fc,SetPropertyToDialogItemWithID_FW
0xff97c32c,GetPropertyFromDialogItemWithID_FW
0xff97c3c4,AddItemToDialogBox_FW
0xff97c498,DeleteItemFromDialogBox_FW
0xff97c584,SetFocusDirectionToDialogItem_FW
0xff97c788,SetFocusItemToDialogItem_FW
0xff97c89c,GetFocusedItemIDOfDialogItem_FW
0xff97c8d4,GetItemHandleOfDialogBox_FW
0xff97c974,DisplayDialogBox_FW
0xff97c99c,UndisplayDialogBox_FW
0xff97c9c4,SetBackgroundColorToDialogBox_FW
0xff97ca18,RefreshRectangleToDialog_FW
0xff97caa0,RegisterRefreshToDialog_FW
0xff97cb64,RefreshRegistedRectangleToDialog_FW
0xff97cbd8,FillRectangleToDialog_FW
0xff97cc38,DrawStringToDialog_FW
0xff97cc98,TransferRectangleToDialog_FW
0xff97cd08,TransferBitmapToDialog_FW
0xff97cd88,DrawBinaryBitmapToDialog_FW
0xff97cdf0,GetDialogBoxWindow_FW
0xff97ce10,SetFocusScopeToDialog_FW
0xff97ce80,GetFocusScopeToDialog_FW
0xff97cecc,MoveViewPortPosition_FW
0xff97cf30,ResizeDialogBox_FW
0xff97cf7c,MoveDialogControllerToTopOfZOrder_FW
0xff97cfa0,RegisterChangeLanguageToDialog_FW
0xff97cfe8,UnregisterChangeLanguageToDialog_FW
0xff97d024,MoveDialogItemPositionToDialog_FW
0xff97d058,ResizeDialogItemToDialog_FW
0xff97d08c,GetDialogItemPositionToDialog_FW
0xff97d0c0,GetDialogItemResolutionToDialog_FW
0xff97d0f4,SetOriginTypeToDialog_FW
0xff97d118,SetDefaultMovingFocusToDialog_FW
0xff97d13c,LockRefreshDialog_FW
0xff97d180,UnlockRefreshDialog_FW
0xff97d240,KeepDefaultMoveFocusEventToDialog_FW
0xff97d610,InstallDialogItem_FW
0xff97d6ec,CreateDialogItem_FW
0xff97d7dc,DeleteDialogItem_FW
0xff97d85c,DrawDialogItem_FW
0xff97d8f4,ControlEventHandler_FW
0xff97d970,SetPropertyToDialogItem_FW
0xff97d9e4,GetPropertyFromDialogItem_FW
0xff97da58,SetAttributeToDialogItem_FW
0xff97dacc,GetAttributeFromDialogItem_FW
0xff97db38,MoveDialogItemPosition_FW
0xff97dbac,ResizeDialogItem_FW
0xff97dc2c,GetDialogItemPosition_FW
0xff97dcac,GetDialogItemResolution_FW
0xff98103c,StartGUISystem_FW
0xff981424,DeletePalette_FW
0xff98149c,SetYUVPaletteIndex_FW
0xff9815dc,SetPaletteToPhysicalScreen_FW
0xff981634,GetPaletteFromPhysicalScreen_FW
0xff98458c,SetCurrentPalette_FW
0xff98459c,SetSystemColorMode_FW
0xff988e58,LockPhysicalScreen_FW
0xff988eec,RefreshPhysicalScreen
0xff988eec,RefreshPhysicalScreen_FW
0xff988fc0,EnableRefreshPhysicalScreen_FW
0xff988fd4,DisableRefreshPhysicalScreen_FW
0xff988fe8,IsEnableRefreshPhysicalScreen_FW
0xff9898fc,PrintBmpVramInfo_FW
0xff98992c,PrintCurrPalette_FW
0xff99843c,UI_ShowStateOfRecMode_FW
0xff998454,UIFS_SetDialStillRec_FW
0xff998494,UIFS_SetDialMovieRec_FW
0xff9984d4,UIFS_SetDialPlay_FW
0xff998514,ModeLevelStillRecForScript_FW
0xff998520,ModeLevelMovieRecForScript_FW
0xff99852c,ModeLevelPlayForScript_FW
0xff998538,UIFS_StopPostingUIEvent_FW
0xff998544,UIFS_RestartPostingUIEvent_FW
0xff998550,UIFS_SetCaptureModeToP_FW
0xff99858c,UIFS_SetCaptureModeToM_FW
0xff9985c8,UIFS_SetCaptureModeToMacro_FW
0xff9985dc,UIFS_Capture_FW
0xff9985ec,UIFS_StartMovieRecord_FW
0xff9985f8,UIFS_StopMovieRecord_FW
0xff998630,UIFS_PCaseToPTMID_FW
0xff998690,UIFS_SetCradleSetting_FW
0xff99b448,PB2Rec
0xff99b488,Rec2PB
0xff99e360,ExecuteResetFactoryWithRomWrite_FW
0xff9a3274,SetCurrentCaptureModeType
0xff9a3274,SetCurrentCaptureModeType_FW
0xff9a32c4,GetCurrentCaptureModeType_FW
0xff9a677c,ShootCon_GetStatus_FW
0xff9aa57c,ShootCon_ShowState_FW
0xff9aaffc,ShootCon_SetEventHook_FW
0xff9ab028,ShootCon_PrintMemoryDump_FW
0xff9ab0b4,ShootCon_ShowAllSemaphores_FW
0xff9b9f14,StartSwitchViewFinder_FW
0xff9b9f68,StopSwitchViewFinder_FW
0xff9b9f94,SwitchViewFinder_FW
0xff9bb07c,TurnOnBackLight
0xff9bb0ac,TurnOffBackLight
0xff9f33b4,CreatePlayMyColController_FW
0xff9f34e0,DeletePlayMyColController_FW
0xffa0150c,TerminateDpofUI_FW
0xffa06bcc,StartDpofPlayLoading_FW
0xffa06d88,StopDpofPlayLoading_FW
0xffa06db0,SyncStopDpofPlayLoading_FW
0xffa0a518,StartRecModeMenu
0xffa14644,InstallMyCameraMenu_FW
0xffa156a4,IsCalledStopEVF_FW
0xffa15e70,ShutdownRecAllMenu_FW
0xffa15ee8,ShutdownPlayAllMenu_FW
0xffa22e34,FmtMenu_ExecuteQuickFormat_FW
0xffa2890c,StartDtConfirmMenu_FW
0xffa289fc,StoptDtConfirmMenu_FW
0xffa29328,StartDtExecuteMenu_FW
0xffa29468,StoptDtExecuteMenu_FW
0xffa2cb08,StartDpConnect_FW
0xffa2cd90,StopDpConnect_FW
0xffa2d128,CreateDpConnectController_FW
0xffa2d3b8,DeleteDpConnectController_FW
0xffa2d48c,shutdownDirectPrintUI_FW
0xffa38154,StartDpsDpofMenu_FW
0xffa3e378,StartDpsMainMenu_FW
0xffa44868,StartDpsStop_FW
0xffa4de84,DBG_changeTraceLevel_FW
0xffa4e07c,StartDpMovieMenu_FW
0xffa61d58,InstallPrintMenu_FW
0xffa899f4,PTPRspnd.ShowRemoteStg_FW
0xffaa5ce0,ResetZoomLens
0xffaa5df8,MoveZoomLensWithPoint
0xffaa5f18,GetZoomLensCurrentPoint
0xffaa5f2c,GetZoomLensCurrentPosition
0xffab6344,ResetFocusLens
0xffab8788,MessageToSrpv_FW
0xffab87d8,ReceiveFromSrpv_FW
0xffab9bc0,StartImStEventProc_FW
0xffaba110,GetCheckSum_FW
0xffaba11c,DMASioSet_FW
0xffaba12c,JumpToProgFirst_FW
0xffaba138,DelaySet_FW
0xffaba148,TransferISAdjData_FW
0xffaba154,StartHeartBeatbyEventProc_FW
0xffaba160,StopHeartBeatgbyEventProc_FW
0xffaba17c,SrpvResetHigh_FW
0xffaba1bc,SrpvResetLow_FW
0xffaba22c,SrpvClockStart_FW
0xffaba2a8,SrpvClockStop_FW
0xffaba2ec,ISAutoCenter_FW
0xffaba2f8,SetISDriveAaxis_FW
0xffaba308,SetISDriveBaxis_FW
0xffaba318,SetISHallOffsetAaxis_FW
0xffaba328,SetISHallOffsetBaxis_FW
0xffaba338,SetISHallGainAaxis_FW
0xffaba348,SetISHallGainBaxis_FW
0xffaba358,SetISGyroGainAaxis_FW
0xffaba368,SetISGyroGainBaxis_FW
0xffaba38c,GetISDriveAaxis_FW
0xffaba3c0,GetISDriveBaxis_FW
0xffaba3f8,GetISPositionAaxis_FW
0xffaba430,GetISPositionBaxis_FW
0xffaba46c,GetISHallOffsetAaxis_FW
0xffaba4a8,GetISHallOffsetBaxis_FW
0xffaba4e0,GetISHallGainAaxis_FW
0xffaba518,GetISHallGainBaxis_FW
0xffaba550,GetISGyroGainAaxis_FW
0xffaba588,GetISGyroGainBaxis_FW
0xffaba5bc,GetDbgData0_FW
0xffaba5ec,GetDbgData1_FW
0xffaba61c,GetDbgData2_FW
0xffaba64c,GetDbgData3_FW
0xffaba67c,GetDbgData4_FW
0xffaba6ac,GetDbgData5_FW
0xffaba6dc,GetISADData_FW
0xffaba724,ISSetLowGain_FW
0xffaba764,GetISFirmVersion_FW
0xffaba7b8,GetISParamVersion_FW
0xffaba7f0,SetZoomPosition_FW
0xffaba810,GetISPLFAaxis_FW
0xffaba840,GetISPLFBaxis_FW
0xffaba860,SetISPLFAaxis_FW
0xffaba870,SetISPLFBaxis_FW
0xffaba890,GetISLPFAaxis_FW
0xffaba8c0,GetISLPFBaxis_FW
0xffaba8e0,SetISLPFAaxis_FW
0xffaba8f0,SetISLPFBaxis_FW
0xffabf2f8,FA.Delete_FW
0xffabfe68,InitializeAdjustmentSystem_FW
0xffabfeb0,TerminateAdjustmentSystem_FW
0xffabfef8,InitializeAdjustmentFunction_FW
0xffac6140,GetCurrentTargetDistance
0xffac401c,GetCurrentAvValue,(stubs_entry_2.s)
0xffac63e0,MoveFocusLensToDistance
0xffac9c88,SetAE_ShutterSpeed
0xffacae68,GetVRAMHPixelsSize
0xffacae74,GetVRAMVPixelsSize
0xffaef6bc,MakeBootDisk_FW
