0xff814ee8,_GetSystemTime
0xffb01b2c,_log
0xffafdecc,_log10
0xffafe054,_pow
0xffafff28,_sqrt
0xff822588,AcquireRecursiveLock
0xff97c3c8,AddItemToDialogBox_FW
0xff81ab20,AllocateMemory
0xff81ab20,AllocateMemory_FW
0xff814cb0,AllocateUncacheableMemory
0xff8b1db4,apex2us
0xff82ae1c,BatVoltageToAd_FW
0xff815dac,CancelHPTimer
0xff815150,CancelTimer
0xff8a0c74,Capture.Delete_FW
0xff81fb08,CheckAllEventFlag
0xff81faf8,CheckAnyEventFlag
0xff81a730,CheckSumAll_FW
0xff81ff08,ClearEventFlag
0xff86f5a8,Close
0xffb0bf90,close
0xff86f5a8,Close_FW
0xff81b9fc,CloseConsole_FW
0xffb09418,closedir
0xff97d8f8,ControlEventHandler_FW
0xff81b730,CPrintf_FW
0xff81b794,CPutChar_FW
0xff820c70,CreateBinarySemaphore
0xff822758,CreateBinarySemaphoreStrictly
0xff96ad2c,CreateController_FW
0xff820d58,CreateCountingSemaphore
0xff820d58,CreateCountingSemaphore_FW
0xff822784,CreateCountingSemaphoreStrictly
0xff97bf44,CreateDialogBox_FW
0xff97d6f0,CreateDialogItem_FW
0xffa2d12c,CreateDpConnectController_FW
0xff81f84c,CreateEventFlag
0xff82272c,CreateEventFlagStrictly
0xff820138,CreateMessageQueue
0xff822700,CreateMessageQueueStrictly
0xff9f33b8,CreatePlayMyColController_FW
0xff817548,CreateProxyOfEventProcedure_FW
0xff8223d4,CreateRecursiveLock
0xff8227b0,CreateRecursiveLockStrictly
0xff821620,CreateTask
0xff821620,CreateTask_FW
0xff8226c0,CreateTaskStrictly
0xffa4de88,DBG_changeTraceLevel_FW
0xff813b80,DebugAssert
0xffaba130,DelaySet_FW
0xff96ade4,DeleteController_FW
0xff97c154,DeleteDialogBox_FW
0xff97c2dc,DeleteDialogBoxAfterGetTopOfControl_FW
0xff97d7e0,DeleteDialogItem_FW
0xffa2d3bc,DeleteDpConnectController_FW
0xff81f958,DeleteEventFlag
0xff868748,DeleteFile_Fut
0xff97c49c,DeleteItemFromDialogBox_FW
0xff820288,DeleteMessageQueue
0xff981428,DeletePalette_FW
0xff9f34e4,DeletePlayMyColController_FW
0xff8175d0,DeleteProxyOfEventProcedure_FW
0xff8224f0,DeleteRecursiveLock
0xff820e64,DeleteSemaphore
0xff820e64,DeleteSemaphore_FW
0xff971d5c,DisableAutoShutdown_FW
0xff8d3764,DisableOBClampField_FW
0xff988fd8,DisableRefreshPhysicalScreen_FW
0xff9339b0,DispCon_ShowBitmapColorBar
0xff97c978,DisplayDialogBox_FW
0xffaba114,DMASioSet_FW
0xff95b424,DoAFLock,(stubs_entry_2.s)
0xff97cd8c,DrawBinaryBitmapToDialog_FW
0xff97d860,DrawDialogItem_FW
0xff97cc3c,DrawStringToDialog_FW
0xff81a9f8,Dump32_FW
0xff971d74,EnableAutoShutdown_FW
0xff8200f8,EnableInterrupt
0xff8d374c,EnableOBClampField_FW
0xff988fc4,EnableRefreshPhysicalScreen_FW
0xff88052c,EngDrvBits
0xff880510,EngDrvIn
0xff8804f8,EngDrvOut
0xff880518,EngDrvRead
0xff8a0ad8,EngineDriver.Delete_FW
0xffaf9588,EraseLogSector_FW
0xff822d10,EraseSectorOfRom_FW
0xff81ac04,EraseSignature_FW
0xffb09be4,errnoOfTaskGet
0xff81ac8c,exec_FW
0xff816bc8,ExecuteEventProcedure
0xff816bc8,ExecuteEventProcedure_FW
0xff99e364,ExecuteResetFactoryWithRomWrite_FW
0xff8219e0,ExitTask
0xff8219e0,ExitTask_FW
0xff816db0,ExportToEventProcedure_FW
0xffabf2f0,FA.Delete_FW
0xff868888,Fclose_Fut
0xff868888,Fclose_Fut_FW
0xff868a9c,Feof_Fut
0xff868ad4,Fflush_Fut
0xff868a0c,Fgets_Fut
0xff97cbdc,FillRectangleToDialog_FW
0xffa22e38,FmtMenu_ExecuteQuickFormat_FW
0xff86884c,Fopen_Fut
0xff86884c,Fopen_Fut_FW
0xff86896c,Fread_Fut
0xff86896c,Fread_Fut_FW
0xff81ab0c,FreeMemory
0xff81ab0c,FreeMemory_FW
0xff814ce4,FreeUncacheableMemory
0xff868a54,Fseek_Fut
0xff868a54,Fseek_Fut_FW
0xff8689bc,Fwrite_Fut
0xff8689bc,Fwrite_Fut_FW
0xff829914,GetAdChValue_FW
0xff829954,GetAdVBattBottom_FW
0xff97dad0,GetAttributeFromDialogItem_FW
0xff82d21c,GetBatteryTemperature
0xff81a574,GetBuildDate_FW
0xff81a58c,GetBuildTime_FW
0xff82d208,GetCCDTemperature
0xff81b7c8,GetCh_FW
0xffaba108,GetCheckSum_FW
0xffac4014,GetCurrentAvValue,(stubs_entry_2.s)
0xff9a32c8,GetCurrentCaptureModeType_FW
0xffac6138,GetCurrentTargetDistance
0xffaba5b4,GetDbgData0_FW
0xffaba5e4,GetDbgData1_FW
0xffaba614,GetDbgData2_FW
0xffaba644,GetDbgData3_FW
0xffaba674,GetDbgData4_FW
0xffaba6a4,GetDbgData5_FW
0xff97cdf4,GetDialogBoxWindow_FW
0xff97dc30,GetDialogItemPosition_FW
0xff97d090,GetDialogItemPositionToDialog_FW
0xff97dcb0,GetDialogItemResolution_FW
0xff97d0c4,GetDialogItemResolutionToDialog_FW
0xff86ed94,GetDrive_ClusterSize
0xff86ee0c,GetDrive_FreeClusters
0xff86edd0,GetDrive_TotalClusters
0xff81ff58,GetEventFlagValue
0xff81a5b0,GetFirmwareVersion_FW
0xff97c8a0,GetFocusedItemIDOfDialogItem_FW
0xff97ce84,GetFocusScopeToDialog_FW
0xffaba6d4,GetISADData_FW
0xffaba384,GetISDriveAaxis_FW
0xffaba3b8,GetISDriveBaxis_FW
0xffaba75c,GetISFirmVersion_FW
0xffaba548,GetISGyroGainAaxis_FW
0xffaba580,GetISGyroGainBaxis_FW
0xffaba4d8,GetISHallGainAaxis_FW
0xffaba510,GetISHallGainBaxis_FW
0xffaba464,GetISHallOffsetAaxis_FW
0xffaba4a0,GetISHallOffsetBaxis_FW
0xffaba888,GetISLPFAaxis_FW
0xffaba8b8,GetISLPFBaxis_FW
0xffaba7b0,GetISParamVersion_FW
0xffaba808,GetISPLFAaxis_FW
0xffaba838,GetISPLFBaxis_FW
0xffaba3f0,GetISPositionAaxis_FW
0xffaba428,GetISPositionBaxis_FW
0xff97c8d8,GetItemHandleOfDialogBox_FW
0xff827ecc,GetKbdState
0xff82ade0,GetLBOffset_FW
0xff96df9c,GetLogicalEventName
0xffaf94ac,GetLogToFile_FW
0xff9722a0,GetMainPowerLockCounter_FW
0xff820bf0,GetNumberOfPostedMessages
0xff82d1f4,GetOpticalTemperature
0xff981638,GetPaletteFromPhysicalScreen_FW
0xff8248e4,GetPropertyCase
0xff97d9e8,GetPropertyFromDialogItem_FW
0xff97c330,GetPropertyFromDialogItemWithID_FW
0xff96b054,GetSelfControllerHandle_FW
0xff8212ec,GetSemaphoreValue
0xff8200cc,GetSRAndDisableInterrupt
0xff81b82c,GetStringWithPrompt_FW
0xff81ac34,GetSystemTime_FW
0xff814988,GetTimeOfSystem_FW
0xffacae60,GetVRAMHPixelsSize
0xffacae6c,GetVRAMVPixelsSize
0xffaa5f10,GetZoomLensCurrentPoint
0xffaa5f24,GetZoomLensCurrentPosition
0xff821218,GiveSemaphore
0xff821218,GiveSemaphore_FW
0xffabfef0,InitializeAdjustmentFunction_FW
0xffabfe60,InitializeAdjustmentSystem_FW
0xff8a0bb0,InPort_FW
0xff97d614,InstallDialogItem_FW
0xffa14648,InstallMyCameraMenu_FW
0xffa61d5c,InstallPrintMenu_FW
0xffb0d1b0,iosDevAdd
0xffb0d188,iosDevDelete
0xffb0d474,iosDrvInstall
0xffb034bc,isalpha
0xffaba2e4,ISAutoCenter_FW
0xffa156a8,IsCalledStopEVF_FW
0xff96fd70,IsControlEventActive
0xff96fd70,IsControlEventActive_FW
0xffb034ec,isdigit
0xff971c54,IsDisableAutoShutdown_FW
0xff988fec,IsEnableRefreshPhysicalScreen_FW
0xffb0351c,islower
0xffb0354c,ispunct
0xffaba71c,ISSetLowGain_FW
0xffb03564,isspace
0xff91047c,IsStrobeChargeCompleted
0xffb0357c,isupper
0xffb03594,isxdigit
0xffaba124,JumpToProgFirst_FW
0xff826cf4,kbd_p1_f
0xff826d00,kbd_p1_f_cont
0xff8270d8,kbd_p2_f
0xff827f0c,kbd_pwr_off,(stubs_entry_2.s)
0xff826dc0,kbd_read_keys
0xff827a40,kbd_read_keys_r2
