0xff811ab0,wrapped_malloc
0xff812834,exmem_alloc
0xff812e74,printclock_FW
0xff812f78,StopClockSaver_FW
0xff812f94,SetLClk72MHz_FW
0xff812fa4,SetLClk36MHz_FW
0xff812fb4,SetLClk18MHz_FW
0xff81306c,SetHClk72MHz_FW
0xff8130b0,SetHClk36MHz_FW
0xff8130d8,SetHClk18MHz_FW
0xff81311c,SetMClk72MHz_FW
0xff813160,SetMClk36MHz_FW
0xff813188,SetMClk18MHz_FW
0xff813e84,DebugAssert
0xff81450c,LocalTime
0xff814c8c,GetTimeOfSystem_FW
0xff814fb4,AllocateUncacheableMemory
0xff814fe8,FreeUncacheableMemory
0xff8151ec,_GetSystemTime
0xff815340,SetTimerAfter
0xff8153dc,SetTimerWhen
0xff815454,CancelTimer
0xff815c3c,SetHPTimerAfterNow
0xff815cc8,SetHPTimerAfterTimeout
0xff8160b0,CancelHPTimer
0xff816d44,RegisterEventProcedure_FW
0xff816e50,ExecuteEventProcedure
0xff816e50,ExecuteEventProcedure_FW
0xff8177b8,ExportToEventProcedure_FW
0xff8177d0,CreateProxyOfEventProcedure_FW
0xff817858,DeleteProxyOfEventProcedure_FW
0xff818290,LogCameraEvent
0xff818360,PutsCameraLogEvent_FW
0xff818468,ShowCameraLogInfo_FW
0xff81850c,ShowCameraLog_FW
0xff8187ec,StopCameraLog_FW
0xff81a60c,StartWDT_FW
0xff81a688,StopWDT_FW
0xff81a7fc,GetBuildDate_FW
0xff81a814,GetBuildTime_FW
0xff81a838,GetFirmwareVersion_FW
0xff81a920,RomCheckSum_FW
0xff81a9b4,CheckSumAll_FW
0xff81ab5c,SystemEventDelete_FW
0xff81ac5c,Dump32_FW
0xff81ad70,FreeMemory
0xff81ad70,FreeMemory_FW
0xff81ad84,AllocateMemory
0xff81ad84,AllocateMemory_FW
0xff81ad94,Wait_FW
0xff81ada8,Poke32_FW
0xff81adcc,Poke16_FW
0xff81adf0,Poke8_FW
0xff81ae14,Peek32_FW
0xff81ae30,Peek16_FW
0xff81ae4c,Peek8_FW
0xff81ae68,EraseSignature_FW
0xff81ae98,GetSystemTime_FW
0xff81aeb8,MonSelEvent_FW
0xff81aef0,exec_FW
0xff81b90c,RotateConsoleZOder_FW
0xff81b9b4,CPrintf_FW
0xff81ba18,CPutChar_FW
0xff81ba4c,GetCh_FW
0xff81bab0,GetStringWithPrompt_FW
0xff81bb34,OpenConsole_FW
0xff81bc80,CloseConsole_FW
0xff820818,StartUARTRedirect_FW
0xff820830,StopUARTRedirect_FW
0xff82090c,CreateEventFlag
0xff820a18,DeleteEventFlag
0xff820bb8,CheckAnyEventFlag
0xff820bc8,CheckAllEventFlag
0xff820c68,WaitForEventFlag
0xff820e0c,WaitForAnyEventFlag
0xff820e1c,WaitForAllEventFlag
0xff820e2c,SetEventFlag
0xff820fc8,ClearEventFlag
0xff821018,GetEventFlagValue
0xff821150,RegisterInterruptHandler
0xff821174,UnregisterInterruptHandler
0xff82118c,GetSRAndDisableInterrupt
0xff821198,SetSR
0xff8211b8,EnableInterrupt
0xff8211f8,CreateMessageQueue
0xff821348,DeleteMessageQueue
0xff821544,ReceiveMessageQueue
0xff8217b8,TryReceiveMessageQueue
0xff82195c,PostMessageQueue
0xff821b84,TryPostMessageQueue
0xff821cb0,GetNumberOfPostedMessages
0xff821d30,CreateBinarySemaphore
0xff821e18,CreateCountingSemaphore
0xff821e18,CreateCountingSemaphore_FW
0xff821f24,DeleteSemaphore
0xff821f24,DeleteSemaphore_FW
0xff8220f0,TakeSemaphore
0xff8220f0,TakeSemaphore_FW
0xff822274,TryTakeSemaphore
0xff8222d8,GiveSemaphore
