0xffaae408,_dadd
0xffaaedbc,_dcmp
0xffaaf044,_dcmp_reverse
0xffaae6b0,_ddiv
0xffaaec48,_dfix
0xffaaecf8,_dfixu
0xffaaed80,_dflt
0xffaaedb0,_dfltu
0xffaacaf4,_divmod_signed_int
0xffaae308,_divmod_unsigned_int
0xffaaee44,_dmul
0xffaaf0e4,_drsb
0xffaaf2a8,_dsub
0xffaaf65c,_f2d
0xffaaf808,_fdiv
0xffaafa2c,_ffix
0xffaafaa0,_ffixu
0xffaafb00,_fflt
0xffaafb34,_ffltu
0xffaafb3c,_fmul
0xff82881c,_GetSystemTime
0xffaadd14,_log
0xffaacc58,_log10
0xffaacdc8,_pow
0xffaadc58,_safe_sqrt
0xffaaffc8,_scalbn
0xffaaf134,_sqrt
0xff81cdb0,_uartr_req
0xffa810c4,AbortAEIntegralValue_FW
0xff8280b4,AcquireRecursiveLock
0xff81bcb4,AcquireRecursiveLockStrictly
0xff8ff538,ActivateAdjLog_FW
0xff9d4a5c,ActivateImager_FW
0xff9d4ae8,ActivateImagerXOne_FW
0xff9e0924,add_ptp_handler
0xff9ac4dc,add_ui_to_dialog
0xff847c58,AddAdjDataToFRom_FW
0xffa2d95c,AdditionAgentRAM_FW
0xff9f9894,AddTransparentMemory_FW
0xffa8703c,AdjAEWithAperturePriority_FW
0xffa86ff8,AfAEWithAperturePriority_FW
0xffa871e8,AfAEWithCompensation_FW
0xff9b5ecc,AFTool.GetEVal_FW
0xffa2d1c0,AllocateMemory
0xffa2d1c0,AllocateMemory_FW
0xff82857c,AllocateUncacheableMemory
0xff9b19c0,apex2us
0xff894364,atol_FW
0xffa81ba4,AttachIntegCrawData_FW
0xff9f98cc,AttachToTransparentMemory_FW
0xff8416d4,Bat_Calc_FW
0xffa88594,Bat_Save_FW
0xffa88580,Bat_VIN_FW
0xff841cf0,BeepDrive_FW
0xffa831c0,CalcLog10
0xffa831fc,CalcLog10_FW
0xff8416d4,CalculateBatSenseOffset_FW
0xffa8319c,CalculateLog2ToApex_FW
0xffa83160,CalculatePeakFromLeastSquareResult_FW
0xffa831b0,CalculatePow2FromApex_FW
0xffa86e14,CancelAdj_AEMode_FW
0xffa822b4,CancelAdjCdsMode_FW
0xffa852ec,CancelBPFilterForBP_FW
0xffa86770,CancelExStrobeMode_FW
0xffa29278,CancelFocusLensMaxSpeedLimit_FW
0xff868b98,CancelHPTimer
0xff9d4c40,CancelImager_FW
0xff828a38,CancelTimer
0xff93bd64,Capture.Create_FW
0xffa82054,ChangeAdjImgDrvMode_FW
0xffa82080,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa8a020,ChangeFilterMode_FW
0xffa29430,ChangeFocusDistanceToPosition_FW
0xff9cbf0c,ChangeGradeTable_FW
0xff9d4ce4,ChangeImagerToAlternateDraft_FW
0xff9d4cdc,ChangeImagerToDigiconMode_FW
