0xffaaf2ac,_dadd
0xffaafc60,_dcmp
0xffaafee8,_dcmp_reverse
0xffaaf554,_ddiv
0xffaafaec,_dfix
0xffaafb9c,_dfixu
0xffaafc24,_dflt
0xffaafc54,_dfltu
0xffaad998,_divmod_signed_int
0xffaaf1ac,_divmod_unsigned_int
0xffaafce8,_dmul
0xffaaff88,_drsb
0xffab014c,_dsub
0xffab0500,_f2d
0xffab06ac,_fdiv
0xffab08d0,_ffix
0xffab0944,_ffixu
0xffab09a4,_fflt
0xffab09d8,_ffltu
0xffab09e0,_fmul
0xff82880c,_GetSystemTime
0xffaaebb8,_log
0xffaadafc,_log10
0xffaadc6c,_pow
0xffaaeafc,_safe_sqrt
0xffab0e6c,_scalbn
0xffaaffd8,_sqrt
0xff81cda0,_uartr_req
0xffa82334,AbortAEIntegralValue_FW
0xff8280a4,AcquireRecursiveLock
0xff81bcb4,AcquireRecursiveLockStrictly
0xff8ff2b0,ActivateAdjLog_FW
0xff9d5c5c,ActivateImager_FW
0xff9d5ce8,ActivateImagerXOne_FW
0xff9e1b24,add_ptp_handler
0xff9ad340,add_ui_to_dialog
0xff847a18,AddAdjDataToFRom_FW
0xffa2ebcc,AdditionAgentRAM_FW
0xff9faa94,AddTransparentMemory_FW
0xffa881bc,AdjAEWithAperturePriority_FW
0xffa88178,AfAEWithAperturePriority_FW
0xffa88368,AfAEWithCompensation_FW
0xff9b6d30,AFTool.GetEVal_FW
0xffa2e430,AllocateMemory
0xffa2e430,AllocateMemory_FW
0xff82856c,AllocateUncacheableMemory
0xff9b2824,apex2us
0xff894184,atol_FW
0xffa82e14,AttachIntegCrawData_FW
0xff9faacc,AttachToTransparentMemory_FW
0xff841488,Bat_Calc_FW
0xffa89714,Bat_Save_FW
0xffa89700,Bat_VIN_FW
0xff841aa4,BeepDrive_FW
0xffa84430,CalcLog10
0xffa8446c,CalcLog10_FW
0xff841488,CalculateBatSenseOffset_FW
0xffa8440c,CalculateLog2ToApex_FW
0xffa843d0,CalculatePeakFromLeastSquareResult_FW
0xffa84420,CalculatePow2FromApex_FW
0xffa87f94,CancelAdj_AEMode_FW
0xffa83524,CancelAdjCdsMode_FW
0xffa8646c,CancelBPFilterForBP_FW
0xffa878f0,CancelExStrobeMode_FW
0xffa2a4e8,CancelFocusLensMaxSpeedLimit_FW
0xff868944,CancelHPTimer
0xff9d5e40,CancelImager_FW
0xff828a28,CancelTimer
0xff93c044,Capture.Create_FW
0xffa832c4,ChangeAdjImgDrvMode_FW
0xffa832f0,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xffa8b1a0,ChangeFilterMode_FW
0xffa2a6a0,ChangeFocusDistanceToPosition_FW
0xff9ccd4c,ChangeGradeTable_FW
0xff9d5ee4,ChangeImagerToAlternateDraft_FW
0xff9d5edc,ChangeImagerToDigiconMode_FW
0xff9d5ea4,ChangeImagerToFocusJet_FW
0xff9d5ecc,ChangeImagerToHoneyFlash_FW
0xff9d5ebc,ChangeImagerToJetDraft_FW
0xff9d5ec4,ChangeImagerToJumboDraft_FW
