0xffaedfb0,_dadd
0xffaee964,_dcmp
0xffaeeddc,_dcmp_reverse
0xffaee258,_ddiv
0xffaee7f0,_dfix
0xffaee8a0,_dfixu
0xffaee928,_dflt
0xffaee958,_dfltu
0xffaebd40,_divmod_signed_int
0xffaedf68,_divmod_unsigned_int
0xffaee9ec,_dmul
0xffaeee7c,_drsb
0xffaef040,_dsub
0xffaef3f4,_f2d
0xffaef5a0,_fdiv
0xffaef7c4,_ffix
0xffaef838,_ffixu
0xffaef898,_fflt
0xffaef8cc,_ffltu
0xffaef8d4,_fmul
0xff827750,_GetSystemTime
0xffaed328,_log
0xffaebfb4,_log10
0xffaec124,_pow
0xffaed0d4,_safe_sqrt
0xffaefd98,_scalbn
0xffaeeecc,_sqrt
0xff81c35c,_uartr_req
0xff8eb74c,AbortAEIntegralValue_FW
0xff867e28,AcquireRecursiveLock
0xff8273ac,AcquireRecursiveLockStrictly
0xff8ed1ec,ActivateAdjLog_FW
0xff9f6e78,ActivateImager_FW
0xff9f6f04,ActivateImagerXOne_FW
0xffa02464,add_ptp_handler
0xff9b1f2c,add_ui_to_dialog
0xff92e330,AdditionAgentRAM_FW
0xffa1c764,AddTransparentMemory_FW
0xffab9cf4,AdjAEWithAperturePriority_FW
0xffab9cb0,AfAEWithAperturePriority_FW
0xffab9ea0,AfAEWithCompensation_FW
0xff9f2408,AFTool.GetEVal_FW
0xffa57eb0,AllocateMemory
0xffa57eb0,AllocateMemory_FW
0xff8274a4,AllocateUncacheableMemory
0xff9bafbc,apex2us
0xff88b954,atol_FW
0xff8ec2e0,AttachIntegCrawData_FW
0xffa1c79c,AttachToTransparentMemory_FW
0xff841920,Bat_Calc_FW
0xffabb2fc,Bat_Save_FW
0xffabb2e8,Bat_VIN_FW
0xff841f3c,BeepDrive_FW
0xff841f5c,BeepDriveComp_FW
0xffab58b8,CalcLog10
0xffab58f4,CalcLog10_FW
0xffabd408,CalcLoopGain_FW
0xffab59e4,CalcSqrt_FW
0xff841920,CalculateBatSenseOffset_FW
0xffab5894,CalculateLog2ToApex_FW
0xffab5858,CalculatePeakFromLeastSquareResult_FW
0xffab58a8,CalculatePow2FromApex_FW
0xff84d25c,CalculateTestRecYUVData_FW
0xffab9acc,CancelAdj_AEMode_FW
0xffab49ac,CancelAdjCdsMode_FW
0xffab7ed4,CancelBPFilterForBP_FW
0xffab9428,CancelExStrobeMode_FW
0xffa55cbc,CancelFocusLensMaxSpeedLimit_FW
0xff86b620,CancelHPTimer
0xff9f705c,CancelImager_FW
0xff85ade4,CancelLoopGainCalc_FW
0xff82796c,CancelTimer
0xff924018,Capture.Create_FW
0xffa1c1b8,ChangeAdjImgDrvMode_FW
0xffa1c1e4,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff8ef294,ChangeDefectRecExpGain_FW
0xff8ef268,ChangeDefectRecExpTv_FW
0xff8ef330,ChangeDefectRecMontblancSize_FW
0xff8ef250,ChangeDefectRecParameter_FW
0xff8ef2fc,ChangeDefectRecPeakHoldSetting_FW
0xffabb0b8,ChangeDistortionSetForLiveImage_FW
0xffabd098,ChangeFilterMode_FW
0xffa55e70,ChangeFocusDistanceToPosition_FW
0xff9dab2c,ChangeGradeTable_FW
0xff9f7138,ChangeImagerToAlternateDraft_FW
0xff9f70d4,ChangeImagerToCombiParallel_FW
0xff9f7130,ChangeImagerToDigiconMode_FW
0xff9f7158,ChangeImagerToFastBP_FW
0xff9f70f8,ChangeImagerToFocusJet_FW
0xff9f7160,ChangeImagerToHarleyDavidson_FW
0xff9f7120,ChangeImagerToHoneyFlash_FW
0xff9f7110,ChangeImagerToJetDraft_FW
0xff9f7118,ChangeImagerToJumboDraft_FW
0xff9f7100,ChangeImagerToMangoPudding_FW
0xff9f7128,ChangeImagerToMillefeAdjust_FW
0xff9f7150,ChangeImagerToMontblancMillefe_FW
0xff9f7148,ChangeImagerToMontblancWhole_FW
0xff9f7130,ChangeImagerToOITA_XAVIER_FW
0xff9f7108,ChangeImagerToSuperWideDraft_FW
0xff9f7140,ChangeImagerToUltraGhostQ_FW
0xff9f7080,ChangeImagerToWholeParallel_FW
0xff9f709c,ChangeImagerToWholeParallelBP_FW
0xff9f70b8,ChangeImagerToWholeParallelBPOne_FW
0xff9f70f0,ChangeImagerToWideDraft_FW
0xffa56bb4,ChangeParallelMode_FW
0xff85a940,ChangeToISCloseControl_FW
0xffab9464,ChargeStrobe_FW
0xffab9498,ChargeStrobeForFA_FW
0xff8679ac,CheckAllEventFlag
0xff867964,CheckAnyEventFlag
0xff86ebf8,CheckSumAll_FW
0xff84791c,ClearDUIDFixFlag_FW
0xff867bcc,ClearEventFlag
0xff8478ac,ClearFactoryMode_FW
0xff85abec,ClearISCalcZData_FW
0xffa56c28,ClearISIComponent_FW
0xffa56c4c,ClearISZData_FW
0xffad3ee4,ClearPMByFs_FW
0xffad3ebc,ClearPMByGpio_FW
0xffab6950,ClearZoomCommonDriveParam_FW
0xffa4cc8c,ClearZoomDriveParam_FW
0xff823c98,Close
0xff8198fc,close
0xff823c98,Close_FW
0xff81be40,CloseConsole_FW
0xffa37e78,closedir
0xffa562bc,CloseMechaShutter_FW
0xffa56304,CloseMechaShutterWithTiming_FW
0xffab4ef8,CloseMShutter_FW
0xffa1c154,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffa1c108,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffab594c,ConvertApexStdToApex_FW
0xffab591c,ConvertApexToApexStd_FW
0xffab5ee8,ConvertCxCyToWBGain_FW
0xffab6cc4,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffab4ad0,ConvertTvToExposureTime_FW
0xff81bb9c,CPrintf_FW
0xff81bbf8,CPutChar_FW
0xff848b84,CreateAdjustmentTableMirror_FW
0xff826c84,CreateBinarySemaphore
0xff827264,CreateBinarySemaphoreStrictly
0xff874c24,CreateController_FW
0xff826cec,CreateCountingSemaphore
0xff826cec,CreateCountingSemaphore_FW
0xff827288,CreateCountingSemaphoreStrictly
0xff9af8cc,CreateDialogBox
0xff8678bc,CreateEventFlag
0xff827240,CreateEventFlagStrictly
0xff8ecb2c,CreateFADBGSingalID_FW
0xffabd684,CreateJumptable
0xff93b8e0,CreateLanguageMenu_FW
0xff8268c0,CreateMessageQueue
0xff82721c,CreateMessageQueueStrictly
0xff86c97c,CreateProxyOfEventProcedure_FW
0xff867d88,CreateRecursiveLock
0xff8272ac,CreateRecursiveLockStrictly
0xff81afac,CreateTask
0xff81afac,CreateTask_FW
0xff8271e8,CreateTaskStrictly
0xff917a1c,CzDebugPrint_FW
