0xff814b98,_GetSystemTime
0xffae0a40,_log
0xffae10e8,_log10
0xffae15d8,_pow
0xffae5924,_sqrt
0xff823760,AcquireRecursiveLock
0xff98dc34,AddItemToDialogBox_FW
0xff81b348,AllocateMemory
0xff81b348,AllocateMemory_FW
0xff814810,AllocateUncacheableMemory
0xff89b788,Angel.Dump_FW
0xff89b73c,Angel.Test_FW
0xff8bbe50,apex2us
0xff815b98,CancelHPTimer
0xff814f3c,CancelTimer
0xff8acca8,Capture.Delete_FW
0xff8204c8,CheckAllEventFlag
0xff8204b8,CheckAnyEventFlag
0xff81af10,CheckSumAll_FW
0xff8208c8,ClearEventFlag
0xff877374,Close
0xffaf44c0,close
0xff877374,Close_FW
0xff81c228,CloseConsole_FW
0xffaf0460,closedir
0xff98efa8,ControlEventHandler_FW
0xff81bf48,CPrintf_FW
0xff81bfac,CPutChar_FW
0xff821844,CreateBinarySemaphore
0xff8239fc,CreateBinarySemaphoreStrictly
0xff97d48c,CreateController_FW
0xff821854,CreateCountingSemaphore
0xff821854,CreateCountingSemaphore_FW
0xff823a28,CreateCountingSemaphoreStrictly
0xff98d7d8,CreateDialogBox_FW
0xff98eda0,CreateDialogItem_FW
0xffa19f70,CreateDpConnectController_FW
0xff8201cc,CreateEventFlag
0xff8239d0,CreateEventFlagStrictly
0xff820ba8,CreateMessageQueue
0xff8239a4,CreateMessageQueueStrictly
0xff8174a0,CreateProxyOfEventProcedure_FW
0xff82356c,CreateRecursiveLock
0xff823a54,CreateRecursiveLockStrictly
0xff82239c,CreateTask
0xff82239c,CreateTask_FW
0xff823964,CreateTaskStrictly
0xffa31698,DBG_changeTraceLevel_FW
0xff813d58,DebugAssert
0xff97d544,DeleteController_FW
0xff98d9c0,DeleteDialogBox_FW
0xff98db48,DeleteDialogBoxAfterGetTopOfControl_FW
0xff98ee90,DeleteDialogItem_FW
0xffa1a1c0,DeleteDpConnectController_FW
0xff8202d8,DeleteEventFlag
0xff86fbf4,DeleteFile_Fut
0xff98dd08,DeleteItemFromDialogBox_FW
0xff820cf8,DeleteMessageQueue
0xff991b98,DeletePalette_FW
0xff817528,DeleteProxyOfEventProcedure_FW
0xff823688,DeleteRecursiveLock
0xff821960,DeleteSemaphore
0xff821960,DeleteSemaphore_FW
0xff98310c,DisableAutoShutdown_FW
0xff8dc86c,DisableOBClampField_FW
0xff9989c0,DisableRefreshPhysicalScreen_FW
0xff93cfcc,DispCon_ShowBitmapColorBar
0xff98e1e4,DisplayDialogBox_FW
0xff967f70,DoAFLock,(stubs_entry_2.s)
0xff98e5d0,DrawBinaryBitmapToDialog_FW
0xff98ef10,DrawDialogItem_FW
0xff98e480,DrawStringToDialog_FW
0xff81b220,Dump32_FW
0xffad0674,DumpScript_FW
0xff983124,EnableAutoShutdown_FW
0xff820b5c,EnableInterrupt
0xff8dc854,EnableOBClampField_FW
0xff9989ac,EnableRefreshPhysicalScreen_FW
0xff88b554,EngDrvBits
0xff88b520,EngDrvOut
0xff88b540,EngDrvRead
0xff8acb04,EngineDriver.Delete_FW
0xff9ac9c4,EnterToDisplayOff_FW
0xffad8308,EraseLogSector_FW
0xff824004,EraseSectorOfRom_FW
0xff81b42c,EraseSignature_FW
0xffaf0c2c,errnoOfTaskGet
0xff816ab4,ExecuteEventProcedure
0xff816ab4,ExecuteEventProcedure_FW
0xffacf3e8,ExecuteFirmUpgrade_FW
0xff9a9634,ExecuteResetFactoryWithRomWrite_FW
0xff9681a4,ExitFromCompensationEVF,(stubs_entry_2.s)
0xff82275c,ExitTask
0xff82275c,ExitTask_FW
0xff816cd0,ExportToEventProcedure_FW
0xffaa36dc,FA.Delete_FW
0xff86fd34,Fclose_Fut
0xff86ff48,Feof_Fut
0xff86ff80,Fflush_Fut
0xff86feb8,Fgets_Fut
0xff98e420,FillRectangleToDialog_FW
0xff86fcf8,Fopen_Fut
0xff86fe18,Fread_Fut
0xff81b334,FreeMemory
0xff81b334,FreeMemory_FW
0xff814844,FreeUncacheableMemory
0xff86ff00,Fseek_Fut
0xff86fe68,Fwrite_Fut
0xff82b848,GetAdChValue_FW
0xff82b888,GetAdVBattBottom_FW
0xff98f180,GetAttributeFromDialogItem_FW
0xff82e368,GetBatteryTemperature
0xff81ad50,GetBuildDate_FW
0xff81ad68,GetBuildTime_FW
0xff82e354,GetCCDTemperature
0xff81bfe0,GetCh_FW
0xffaa6cc4,GetCurrentAvValue
0xff9aed74,GetCurrentCaptureModeType_FW
0xffaa8c20,GetCurrentTargetDistance
0xff98e638,GetDialogBoxWindow_FW
0xff98f2e0,GetDialogItemPosition_FW
0xff98e8d4,GetDialogItemPositionToDialog_FW
0xff98f360,GetDialogItemResolution_FW
0xff98e908,GetDialogItemResolutionToDialog_FW
0xff8767a0,GetDrive_ClusterSize,(stubs_entry_2.s)
0xff876838,GetDrive_FreeClusters,(stubs_entry_2.s)
0xff8767fc,GetDrive_TotalClusters,(stubs_entry_2.s)
0xff820918,GetEventFlagValue
0xff81ad8c,GetFirmwareVersion_FW
0xff98e10c,GetFocusedItemIDOfDialogItem_FW
0xff98e6c8,GetFocusScopeToDialog_FW
