0xff811ba0,wrapped_malloc
0xff811f4c,PrintExMem_FW
0xff812f28,printclock_FW
0xff813044,StopClockSaver_FW
0xff813060,SetLClk72MHz_FW
0xff813070,SetLClk36MHz_FW
0xff813080,SetLClk18MHz_FW
0xff813128,SetHClk72MHz_FW
0xff81316c,SetHClk36MHz_FW
0xff813194,SetHClk18MHz_FW
0xff8131d8,SetMClk72MHz_FW
0xff81321c,SetMClk36MHz_FW
0xff813244,SetMClk18MHz_FW
0xff813d58,DebugAssert
0xff8144d8,LocalTime
0xff814810,AllocateUncacheableMemory
0xff814844,FreeUncacheableMemory
0xff814b98,_GetSystemTime
0xff814cec,SetTimerAfter
0xff814d88,SetTimerWhen
0xff814f3c,CancelTimer
0xff815724,SetHPTimerAfterNow
0xff8157b0,SetHPTimerAfterTimeout
0xff815b98,CancelHPTimer
0xff816930,RegisterEventProcedure_FW
0xff816ab4,ExecuteEventProcedure
0xff816ab4,ExecuteEventProcedure_FW
0xff816cd0,ExportToEventProcedure_FW
0xff8174a0,CreateProxyOfEventProcedure_FW
0xff817528,DeleteProxyOfEventProcedure_FW
0xff81807c,LogCameraEvent
0xff8180e4,PutsCameraLogEvent_FW
0xff8181ec,ShowCameraLogInfo_FW
0xff818290,ShowCameraLog_FW
0xff818570,StopCameraLog_FW
0xff81ab28,StartWDT_FW
0xff81aba4,StopWDT_FW
0xff81ad50,GetBuildDate_FW
0xff81ad68,GetBuildTime_FW
0xff81ad8c,GetFirmwareVersion_FW
0xff81ae74,RomCheckSum_FW
0xff81af10,CheckSumAll_FW
0xff81b100,SystemEventDelete_FW
0xff81b220,Dump32_FW
0xff81b334,FreeMemory
0xff81b334,FreeMemory_FW
0xff81b348,AllocateMemory
0xff81b348,AllocateMemory_FW
0xff81b358,Wait_FW
0xff81b36c,Poke32_FW
0xff81b390,Poke16_FW
0xff81b3b4,Poke8_FW
0xff81b3d8,Peek32_FW
0xff81b3f4,Peek16_FW
0xff81b410,Peek8_FW
0xff81b42c,EraseSignature_FW
0xff81b45c,GetSystemTime_FW
0xff81b47c,MonSelEvent_FW
0xff81bea0,RotateConsoleZOder_FW
0xff81bf48,CPrintf_FW
0xff81bfac,CPutChar_FW
0xff81bfe0,GetCh_FW
0xff81c044,GetStringWithPrompt_FW
0xff81c0d8,OpenConsole_FW
0xff81c228,CloseConsole_FW
0xff8201cc,CreateEventFlag
0xff8202d8,DeleteEventFlag
0xff8204b8,CheckAnyEventFlag
0xff8204c8,CheckAllEventFlag
0xff820568,WaitForEventFlag
0xff82070c,WaitForAnyEventFlag
0xff82071c,WaitForAllEventFlag
0xff82072c,SetEventFlag
0xff8208c8,ClearEventFlag
0xff820918,GetEventFlagValue
0xff820af4,RegisterInterruptHandler
0xff820b18,UnregisterInterruptHandler
0xff820b30,GetSRAndDisableInterrupt
0xff820b3c,SetSR
0xff820b5c,EnableInterrupt
0xff820ba8,CreateMessageQueue
