0xff814ee8,_GetSystemTime
0xffb496c0,_log
0xffb45a60,_log10
0xffb45be8,_pow
0xffb47abc,_sqrt
0xff8225c0,AcquireRecursiveLock
0xff99ae18,AddItemToDialogBox_FW
0xff81ab58,AllocateMemory
0xff81ab58,AllocateMemory_FW
0xff814cb0,AllocateUncacheableMemory
0xff8b6348,apex2us
0xff82b038,BatVoltageToAd_FW
0xff815dac,CancelHPTimer
0xff815150,CancelTimer
0xff8a2fb0,Capture.Delete_FW
0xff81fb40,CheckAllEventFlag
0xff81fb30,CheckAnyEventFlag
0xff81a734,CheckSumAll_FW
0xff81ff40,ClearEventFlag
0xff8713c4,Close
0xffb54198,close
0xff8713c4,Close_FW
0xff81ba34,CloseConsole_FW
0xffb51620,closedir
0xff99c378,ControlEventHandler_FW
0xff81b768,CPrintf_FW
0xff81b7cc,CPutChar_FW
0xff820ca8,CreateBinarySemaphore
0xff822790,CreateBinarySemaphoreStrictly
0xff987d40,CreateController_FW
0xff820d90,CreateCountingSemaphore
0xff820d90,CreateCountingSemaphore_FW
0xff8227bc,CreateCountingSemaphoreStrictly
0xff99a994,CreateDialogBox_FW
0xff99c170,CreateDialogItem_FW
0xffa67994,CreateDpConnectController_FW
0xff81f884,CreateEventFlag
0xff822764,CreateEventFlagStrictly
0xff820170,CreateMessageQueue
0xff822738,CreateMessageQueueStrictly
0xffa26ad0,CreatePlayMyColController_FW
0xff817548,CreateProxyOfEventProcedure_FW
0xff82240c,CreateRecursiveLock
0xff8227e8,CreateRecursiveLockStrictly
0xff821658,CreateTask
0xff821658,CreateTask_FW
0xff8226f8,CreateTaskStrictly
0xffa88b28,DBG_changeTraceLevel_FW
0xff813b80,DebugAssert
0xff987df8,DeleteController_FW
0xff99aba4,DeleteDialogBox_FW
0xff99ad2c,DeleteDialogBoxAfterGetTopOfControl_FW
0xff99c260,DeleteDialogItem_FW
0xffa67c24,DeleteDpConnectController_FW
0xff81f990,DeleteEventFlag
0xff869fc4,DeleteFile_Fut
0xff99aeec,DeleteItemFromDialogBox_FW
0xff8202c0,DeleteMessageQueue
0xff99ff68,DeletePalette_FW
0xffa26bfc,DeletePlayMyColController_FW
0xff8175d0,DeleteProxyOfEventProcedure_FW
0xff822528,DeleteRecursiveLock
0xff820e9c,DeleteSemaphore
0xff820e9c,DeleteSemaphore_FW
0xff98ed70,DisableAutoShutdown_FW
0xff8d82a4,DisableOBClampField_FW
0xff9a7bf8,DisableRefreshPhysicalScreen_FW
0xff940f54,DispCon_ShowBitmapColorBar
0xff99b3c8,DisplayDialogBox_FW
0xff9764ac,DoAFLock,(stubs_entry_2.s)
0xff99b7dc,DrawBinaryBitmapToDialog_FW
0xff99c2e0,DrawDialogItem_FW
0xff99b68c,DrawStringToDialog_FW
0xff81aa30,Dump32_FW
0xff98ed88,EnableAutoShutdown_FW
0xff820130,EnableInterrupt
0xff8d828c,EnableOBClampField_FW
0xff9a7be4,EnableRefreshPhysicalScreen_FW
0xff8824e8,EngDrvBits
0xff8824cc,EngDrvIn
0xff8824b4,EngDrvOut
0xff8824d4,EngDrvRead
0xff8a2e14,EngineDriver.Delete_FW
0xffb3f948,EraseLogSector_FW
0xff822db0,EraseSectorOfRom_FW
0xff81ac3c,EraseSignature_FW
0xffb51dec,errnoOfTaskGet
0xff81acc4,exec_FW
0xff816bc8,ExecuteEventProcedure
0xff816bc8,ExecuteEventProcedure_FW
0xff9bdd14,ExecuteResetFactoryWithRomWrite_FW
0xff978bd8,ExitFromCompensationEVF,(stubs_entry_2.s)
0xff821a18,ExitTask
0xff821a18,ExitTask_FW
0xff816db0,ExportToEventProcedure_FW
0xffb057c4,FA.Delete_FW
0xff86a104,Fclose_Fut
0xff86a104,Fclose_Fut_FW
0xff86a318,Feof_Fut
0xff86a350,Fflush_Fut
0xff86a288,Fgets_Fut
0xff99b62c,FillRectangleToDialog_FW
0xffa592a0,FmtMenu_ExecuteQuickFormat_FW
0xff86a0c8,Fopen_Fut
0xff86a0c8,Fopen_Fut_FW
0xff86a1e8,Fread_Fut
0xff86a1e8,Fread_Fut_FW
0xff81ab44,FreeMemory
0xff81ab44,FreeMemory_FW
0xff814ce4,FreeUncacheableMemory
0xff86a2d0,Fseek_Fut
0xff86a2d0,Fseek_Fut_FW
0xff86a238,Fwrite_Fut
0xff86a238,Fwrite_Fut_FW
0xff829cc0,GetAdChValue_FW
0xff829d00,GetAdVBattBottom_FW
0xff99c550,GetAttributeFromDialogItem_FW
0xff82d37c,GetBatteryTemperature
0xff81a574,GetBuildDate_FW
0xff81a58c,GetBuildTime_FW
0xff82d368,GetCCDTemperature
0xff81b800,GetCh_FW
0xffb0a538,GetCurrentAvValue
0xff9c3e08,GetCurrentCaptureModeType_FW
0xffb0c584,GetCurrentTargetDistance
0xff99b844,GetDialogBoxWindow_FW
0xff99c6b0,GetDialogItemPosition_FW
0xff99bae0,GetDialogItemPositionToDialog_FW
0xff99c730,GetDialogItemResolution_FW
0xff99bb14,GetDialogItemResolutionToDialog_FW
0xff870710,GetDrive_ClusterSize,(stubs_entry_2.s)
0xff8707a8,GetDrive_FreeClusters,(stubs_entry_2.s)
0xff87076c,GetDrive_TotalClusters,(stubs_entry_2.s)
0xff81ff90,GetEventFlagValue
0xff81a5b0,GetFirmwareVersion_FW
0xff99b2f0,GetFocusedItemIDOfDialogItem_FW
0xff99b8d4,GetFocusScopeToDialog_FW
0xff99b328,GetItemHandleOfDialogBox_FW
0xff82affc,GetLBOffset_FW
0xffb3f86c,GetLogToFile_FW
0xff98f2b4,GetMainPowerLockCounter_FW
0xff820c28,GetNumberOfPostedMessages
0xff82d354,GetOpticalTemperature
0xff9a0178,GetPaletteFromPhysicalScreen_FW
0xff82498c,GetPropertyCase
0xff99c468,GetPropertyFromDialogItem_FW
0xff99ad80,GetPropertyFromDialogItemWithID_FW
0xff988068,GetSelfControllerHandle_FW
0xff821324,GetSemaphoreValue
0xff820104,GetSRAndDisableInterrupt
0xff81b864,GetStringWithPrompt_FW
0xff81ac6c,GetSystemTime_FW
0xff814988,GetTimeOfSystem_FW
0xffb112ac,GetVRAMHPixelsSize
0xffb112b8,GetVRAMVPixelsSize
0xffae8460,GetZoomLensCurrentPoint
0xffae8474,GetZoomLensCurrentPosition
0xff821250,GiveSemaphore
0xff821250,GiveSemaphore_FW
0xffb063c4,InitializeAdjustmentFunction_FW
