0xff813a2c,malloc
0xff813b00,free
0xff813be0,realloc
0xff813ca8,GetMemInfo
0xff814e84,drysh_FW
0xff814f00,err_init_task
0xff815268,printclock_FW
0xff8153ac,SetMClk18MHz_FW
0xff8153e4,SetMClk36MHz_FW
0xff8153f8,SetMClk72MHz_FW
0xff815430,SetHClk18MHz_FW
0xff815468,SetHClk36MHz_FW
0xff81547c,SetHClk72MHz_FW
0xff8154b4,SetLClk18MHz_FW
0xff8154c4,SetLClk36MHz_FW
0xff8154d4,SetLClk72MHz_FW
0xff8154e4,StopClockSaver_FW
0xff81a030,open
0xff81a0e0,close
0xff825e34,Read,(stubs_entry_2.s)
0xff81a2c8,read
0xff81a2c8,Read_FW
0xff81b68c,RegisterInterruptHandler
0xff81b6b0,UnregisterInterruptHandler
0xff81b6c8,GetSRAndDisableInterrupt
0xff81b6cc,SetSR
0xff81b6ec,EnableInterrupt
0xff81b6f4,CreateBinarySemaphore
0xff81b75c,CreateCountingSemaphore
0xff81b75c,CreateCountingSemaphore_FW
0xff81b7b4,DeleteSemaphore
0xff81b7b4,DeleteSemaphore_FW
0xff81b80c,TryTakeSemaphore
0xff81b860,TakeSemaphore
0xff81b860,TakeSemaphore_FW
0xff81b930,GiveSemaphore
0xff81b930,GiveSemaphore_FW
0xff81b968,GetSemaphoreValue
0xff81b9c4,CreateTask
0xff81b9c4,CreateTask_FW
0xff81bc54,ExitTask
0xff81bc54,ExitTask_FW
0xff81bc9c,CreateTaskStrictly
0xff81bcd0,CreateMessageQueueStrictly
0xff81bcf4,CreateEventFlagStrictly
0xff81bd18,CreateBinarySemaphoreStrictly
0xff81bd3c,CreateCountingSemaphoreStrictly
0xff81bd60,CreateRecursiveLockStrictly
0xff81bd94,DebugAssert
0xff81be38,RegisterEventProcedure
0xff81bf64,ExecuteEventProcedure
0xff81bf64,ExecuteEventProcedure_FW
0xff81c904,ExportToEventProcedure_FW
0xff81c910,CreateProxyOfEventProcedure_FW
0xff81c968,DeleteProxyOfEventProcedure_FW
0xff81cd54,RotateConsoleZOder_FW
0xff81d4b4,CPrintf_FW
0xff81d510,CPutChar_FW
0xff81d53c,GetCh_FW
0xff81d58c,GetStringWithPrompt_FW
0xff81d61c,OpenConsole_FW
0xff81d714,CloseConsole_FW
0xff81dbb0,_uartr_req
0xff81de6c,StopRedirectUART_FW
0xff81de94,StartRedirectUART_FW
0xff81dea4,j_StopRedirectUART_FW
0xff81e5ac,sprintf_FW
0xff81e5f0,vsprintf
0xff81e670,strcpy
0xff81e670,strcpy_FW
0xff81e688,strncpy
0xff81e6c4,j_strcmp_FW
0xff81e6c4,strcmp
0xff81e6ec,strcmp_FW
0xff81e708,strlen
0xff81e708,strlen_FW
0xff81e72c,memcmp
0xff81e72c,memcmp_FW
0xff81bdb4,srand,(stubs_entry_2.s)
0xff81e834,rand
0xff820a40,RegComEventProc_FW
0xff821354,GetAdChValue_FW
0xff8213e8,GetAdVBattBottom_FW
0xff8217cc,SetBattCheckMode_FW
0xff821838,ShowBattCheckMode_FW
0xff821868,ShowBattChkAdj_FW
0xff821b00,GetLBOffset_FW
0xff821b0c,LowBat_Result_Print_On_FW
0xff821b20,LowBat_Result_Print_Off_FW
0xff8222cc,VbattGet
0xff8222cc,VbattGet_FW
0xff82330c,kbd_p2_f
0xff823668,task_PhySw
0xff82397c,GetSDProtect
0xff823990,kbd_read_keys
0xff823a6c,kbd_p1_f
0xff823a78,kbd_p1_f_cont
0xff82484c,EngDrvOut
0xff824864,EngDrvIn
0xff82486c,EngDrvRead
0xff824880,EngDrvBits
0xff8255a0,RenameFile_Fut
0xff8255f4,DeleteFile_Fut
0xff825668,MakeDirectory_Fut
0xff8256d8,DeleteDirectory_Fut
0xff825730,Fopen_Fut
0xff825730,Fopen_Fut_FW
0xff825770,Fclose_Fut
0xff825770,Fclose_Fut_FW
0xff82581c,Fread_Fut
0xff82581c,Fread_Fut_FW
0xff825870,Fwrite_Fut
0xff825870,Fwrite_Fut_FW
0xff8258c4,Fgets_Fut
0xff825910,Fseek_Fut
0xff825910,Fseek_Fut_FW
0xff82595c,Feof_Fut
0xff825998,Fflush_Fut
0xff8259dc,Fut.Save_FW
0xff825d64,Open
0xff825d64,Open_FW
0xff825d8c,Close
0xff825d8c,Close_FW
0xff825e34,j_Read_FW
0xff825e38,Write
0xff81a328,write,(stubs_entry_2.s)
0xff825e38,Write_FW
0xff825f94,Lseek,(stubs_entry_2.s)
0xff825ecc,lseek
0xff825ecc,Lseek_FW
0xff825f94,j_Lseek_FW
0xff825f98,stat
0xff826068,SetFileTimeStamp
0xff8260b8,SetFileAttributes
0xff826130,mkdir
0xff827c90,DoAFLock
0xff827cfc,UnlockAF
0xff828070,EnterToCompensationEVF
0xff828164,ExitFromCompensationEVF
0xff82a098,CreateEventFlag
0xff82a0f0,DeleteEventFlag
0xff82a140,CheckAnyEventFlag
0xff82a188,CheckAllEventFlag
0xff82a1d0,WaitForAnyEventFlag
0xff82a274,WaitForAllEventFlag
0xff82a33c,SetEventFlag
0xff82a370,ClearEventFlag
0xff82a3a8,GetEventFlagValue
0xff82a4ac,CreateMessageQueue
0xff82a530,DeleteMessageQueue
0xff82a5c0,ReceiveMessageQueue
0xff82a66c,TryReceiveMessageQueue
0xff82a6e8,PostMessageQueue
0xff82a784,TryPostMessageQueue
0xff82a7c4,GetNumberOfPostedMessages
0xff82a834,CreateRecursiveLock
0xff82a884,DeleteRecursiveLock
0xff82a8d4,AcquireRecursiveLock
0xff82a9d8,ReleaseRecursiveLock
0xff82ac20,SleepTask
0xff82ac20,SleepTask_FW
0xff82ad9c,AllocateUncacheableMemory
0xff82add0,FreeUncacheableMemory
0xff82b03c,_GetSystemTime
0xff82b174,SetTimerAfter
0xff82b1f4,SetTimerWhen
0xff82b258,CancelTimer
0xff82cde4,Restart
0xff82d2ac,UI_ShowStateOfRecMode_FW
0xff82d3a8,UIFS_OpenPopupStrobe_FW
0xff82d3d8,UIFS_ClosePopupStrobe_FW
0xff82d408,UIFS_MountExtFlash_FW
0xff82d438,UIFS_UnmountExtFlash_FW
0xff82d468,UIFS_PressTeleButton_FW
0xff82d498,UIFS_PressWideButton_FW
0xff82d4c4,j_ModeLevelStillRecForScript_FW
0xff82d4c8,j_ModeLevelMovieRecForScript_FW
0xff82d4cc,j_ModeLevelPlayForScript_FW
