0xff814de8,_GetSystemTime
0xffaef148,_log
0xffaef7f0,_log10
0xffaefce0,_pow
0xffaf402c,_sqrt
0xffab3d64,AbortAEIntegralValue_FW
0xff822598,AcquireRecursiveLock
0xffab2ad0,ActivateAdjLog_FW
0xff8ca464,ActivateImager_FW
0xff950928,ActivateImageSystem_FW
0xffab0e48,AddAdjDataToFRom_FW
0xff9737f0,AddItemToDialogBox_FW
0xffabf73c,AddTransparentMemory_FW
0xffabbed8,AfAEWithAperturePriority_FW
0xffabc088,AfAEWithCompensation_FW
0xff82d8e0,AFAssistBeam_FW
0xff95120c,AFDistanceChanged_FW
0xff9511b0,AFFrameMoved_FW
0xff81aa30,AllocateMemory
0xff81aa30,AllocateMemory_FW
0xff814bb0,AllocateUncacheableMemory
0xff9517f0,AllSettingReseted_FW
0xff8aef8c,apex2us
0xffabf784,AttachToTransparentMemory_FW
0xff82c644,Bat_Calc_FW
0xffabd658,Bat_Save_FW
0xffabd644,Bat_VIN_FW
0xff82b1dc,BatVoltageToAd_FW
0xff82e330,BeepDrive_FW
0xff82e344,BeepDriveComp_FW
0xff82e358,BeepTest_FW
0xffab74d0,CalcLog10_FW
0xff82c644,CalculateBatSenseOffset_FW
0xffab7478,CalculateLog2ToApex_FW
0xffaba59c,CalculatePeakPositionByLeastSquare_FW
0xffab74ac,CalculatePow2FromApex_FW
0xffabbe2c,CancelAdj_AEMode_FW
0xffab5eec,CancelAdjCdsMode_FW
0xffaac50c,CancelFocusLensMaxSpeedLimit_FW
0xff815cac,CancelHPTimer
0xff8ca784,CancelImager_FW
0xff815050,CancelTimer
0xff8a2378,Capture.Create_FW
0xff8a240c,Capture.Delete_FW
0xff950e4c,CaptureModeChange_FW
0xff8c8130,CdsDrv.Create_FW
0xff8c8168,CdsDrv.Delete_FW
0xff8c7ea4,CdsDrv.GetCdsGainForAdjustment_FW
0xff8c7f0c,CdsDrv.GetCdsOBForAdjustment_FW
0xff8c7f68,CdsDrv.GetCdsRegisterImage_FW
0xff8c7f50,CdsDrv.PowerMode_FW
0xff8c7f40,CdsDrv.ReloadCdsTable_FW
0xff8c7e38,CdsDrv.SetCdsAdjustmentMode_FW
0xff8c7e58,CdsDrv.SetCdsGainApexForAdjustment_FW
0xff8c7e68,CdsDrv.SetCdsGainForAdjustment_FW
0xff8c7e48,CdsDrv.SetCdsNormalMode_FW
0xff8c7ed4,CdsDrv.SetCdsOBForAdjustment_FW
0xff8c7f80,CdsDrv.SetCdsRegisterImage_FW
0xff8ca840,ChangeImagerToAlternateDraft_FW
0xff8ca870,ChangeImagerToFocusJet_FW
0xff8ca850,ChangeImagerToJetDraft_FW
