0x000c5f44,task_AdditionAgent
0x003f1b9c,DisableDispatch_low
0x003f1bc8,EnableDispatch_low
0x003f1c1c,get_self_task_id
0x003f2278,get_task_properties
0x003f5624,RegisterInterruptHandler
0x003f5694,UnregisterInterruptHandler
0x003f5740,GetSRAndDisableInterrupt
0x003f5744,SetSR
0x003f5764,EnableInterrupt
0x003f5778,CreateTask
0x003f5778,CreateTask_FW
0x003f5a04,ExitTask
0x003f5a04,ExitTask_FW
0x003f5a58,DebugAssert
0x003f7968,CreateBinarySemaphore
0x003f79d8,CreateCountingSemaphore
0x003f79d8,CreateCountingSemaphore_FW
0x003f7a38,DeleteSemaphore
0x003f7a38,DeleteSemaphore_FW
0x003f7a98,TryTakeSemaphore
0x003f7af0,TakeSemaphore
0x003f7af0,TakeSemaphore_FW
0x003f7bc8,GiveSemaphore
0x003f7bc8,GiveSemaphore_FW
0x003f7c04,GetSemaphoreValue
0x003f7c6c,CreateTaskStrictly
0x003f7ca4,CreateMessageQueueStrictly
0x003f7ccc,CreateEventFlagStrictly
0x003f7cf4,CreateBinarySemaphoreStrictly
0x003f7d1c,CreateCountingSemaphoreStrictly
0x003f7d44,CreateRecursiveLockStrictly
0x003f7d6c,TakeSemaphoreStrictly
0x003f7d98,ReceiveMessageQueueStrictly
0x003f7dc4,PostMessageQueueStrictly
0x003f7df0,WaitForAnyEventFlagStrictly
0x003f7e1c,WaitForAllEventFlagStrictly
0x003f7e48,AcquireRecursiveLockStrictly
0x003f7fcc,CreateEventFlag
0x003f802c,DeleteEventFlag
0x003f8080,CheckAnyEventFlag
0x003f80c8,CheckAllEventFlag
0x003f8110,WaitForAnyEventFlag
0x003f81fc,WaitForAllEventFlag
0x003f82c8,SetEventFlag
0x003f82fc,ClearEventFlag
0x003f8334,GetEventFlagValue
0x003f8388,CreateMessageQueue
0x003f8424,DeleteMessageQueue
0x003f84b8,ReceiveMessageQueue
0x003f85b0,TryReceiveMessageQueue
0x003f860c,PostMessageQueue
0x003f86d0,TryPostMessageQueue
0x003f8710,GetNumberOfPostedMessages
0x003f8784,CreateRecursiveLock
0x003f87dc,DeleteRecursiveLock
0x003f8830,AcquireRecursiveLock
0x003f8964,ReleaseRecursiveLock
0x003f89f4,DisableDispatch
0x003f8a50,SetValidSystemCalender
0x003f8a60,GetValidSystemCalender
0x003f8a80,IsInvalidTime
0x003f8a98,PauseTimeOfSystem
0x003f8aa8,ResumeTimeOfSystem
0x003f8d2c,SleepTask
0x003f8d2c,SleepTask_FW
0x003f8d78,EnableDispatch
0x003f9210,time
0x003f92c4,GetTimeOfSystem_FW
0x003f9a38,LocalTime
0x003fc384,_divmod_signed_int
0x003fc81c,_divmod_unsigned_int
0x003fcbc8,_log
0x003fd108,_log10
0x003fd280,_pow
0x003fe230,_safe_sqrt
0x003fe27c,_dadd
0x003fe554,_ddiv
0x003fea20,_dfix
0x003fead0,_dfixu
0x003feb58,_dflt
0x003feb88,_dfltu
0x003feb94,_dcmp
0x003fec1c,_dmul
0x003fedec,_dcmp_reverse
0x003fee8c,_drsb
0x003feea4,_sqrt
0x003ff018,_dsub
0x003ff39c,_f2d
0x003ff520,_fdiv
0x003ff704,_ffix
0x003ff778,_ffixu
0x003ff7d8,_fflt
0x003ff80c,_ffltu
0x003ff88c,_fmul
0x003ffd8c,_scalbn
0xff810b68,memShow_FW
0xff812a58,task_ClockSave
0xff813638,get_self_task_errno_pointer
0xff81369c,GetMemInfo
0xff813f04,open
0xff813fb4,close
0xff814158,Read
0xff814158,Read_FW
0xff814a48,err_init_task
0xff814b6c,_uartr_req
0xff814bfc,task_UartLog
0xff814da0,StartRedirectUART_FW
0xff814eb4,StopRedirectUART_FW
0xff81503c,sprintf_FW
0xff815058,strcpy
0xff815058,strcpy_FW
0xff815070,memcmp
0xff815070,memcmp_FW
0xff81516c,j_strcmp_FW
0xff81516c,strcmp
0xff815194,strcmp_FW
0xff8151b0,strlen
0xff8151b0,strlen_FW
0xff815298,malloc
0xff8152f0,free
0xff815ec0,AllocateUncacheableMemory
0xff815efc,FreeUncacheableMemory
0xff816090,_GetSystemTime
0xff8161c8,SetTimerAfter
0xff816234,SetTimerWhen
0xff816298,CancelTimer
0xff816b3c,RenameFile_Fut
0xff816bd0,DeleteFile_Fut,(stubs_entry_2.s)
0xff816c44,DeleteDirectory_Fut
0xff816c9c,Fopen_Fut
0xff816c9c,Fopen_Fut_FW
0xff816cdc,Fclose_Fut
0xff816cdc,Fclose_Fut_FW
0xff816d88,Fread_Fut
0xff816d88,Fread_Fut_FW
0xff816ddc,Fwrite_Fut
0xff816ddc,Fwrite_Fut_FW
0xff816e30,Fgets_Fut
0xff816e7c,Fseek_Fut
0xff816e7c,Fseek_Fut_FW
0xff816ec8,Feof_Fut
0xff816f04,Fflush_Fut
0xff81717c,Open
0xff81717c,Open_FW
0xff817244,Close
0xff817244,Close_FW
0xff817298,Write
0xff817298,Write_FW
0xff8172ec,j_Open_FW
0xff8172f0,j_Close_FW
0xff817368,Remove
0xff8173f0,j_Read_FW
0xff8173f4,j_Write_FW
0xff817460,Lseek
0xff817460,lseek
0xff817460,Lseek_FW
0xff817480,OpenForScrip_FW
0xff8174a8,stat
0xff8175d0,SetFileTimeStamp
0xff817648,SetFileAttributes
0xff8176e0,mkdir
0xff8178e8,j_StartCameraLog_FW
0xff8178ec,j_ShowCameraLog_FW
0xff8178f0,j_ShowCameraLogInfo_FW
0xff8178f4,j_StopCameraLog_FW
0xff8178f8,j_PutsCameraLogEvent_FW
0xff8178fc,OpLog.Create_FW
0xff817978,j_NewTaskShell_FW
0xff81797c,j_ExMem.View_FW
0xff817980,j_ExMem.AllocUncacheable_FW
0xff817984,j_ExMem.FreeUncacheable_FW
0xff817988,j_ExMem.AllocCacheable_FW
0xff81798c,j_ExMem.FreeCacheable_FW
0xff817990,ExMem_FW
0xff817c84,task_Startup
0xff817d98,vsprintf
0xff817dd8,strncpy
0xff81957c,task_StartupImage
0xff81a6c4,task_BatteryTask
0xff81abc8,GetVBatVoltage_FW
