0x001054d8,task_AdditionAgent
0x006b1b94,get_self_task_id
0x006b21d8,get_task_properties
0x006baac4,_divmod_signed_int
0x006baf5c,_divmod_unsigned_int
0x006bb308,_log
0x006bb848,_log10
0x006bb9c0,_pow
0x006bc970,_safe_sqrt
0x006bc9bc,_dadd
0x006bcc94,_ddiv
0x006bd160,_dfix
0x006bd210,_dfixu
0x006bd298,_dflt
0x006bd2c8,_dfltu
0x006bd2d4,_dcmp
0x006bd35c,_dmul
0x006bd52c,_dcmp_reverse
0x006bd5cc,_drsb
0x006bd5e4,_sqrt
0x006bd758,_dsub
0x006bdadc,_f2d
0x006bdc60,_fdiv
0x006bde44,_ffix
0x006bdeb8,_ffixu
0x006bdf18,_fflt
0x006bdf4c,_ffltu
0x006bdfcc,_fmul
0x006be4cc,_scalbn
0xff820b68,memShow_FW
0xff8229dc,task_ClockSave
0xff82338c,get_self_task_errno_pointer
0xff8233fc,GetMemInfo
0xff823c64,open
0xff823d14,close
0xff823eb8,Read
0xff823eb8,Read_FW
0xff824794,err_init_task
0xff824854,RegisterInterruptHandler
0xff8248e4,UnregisterInterruptHandler
0xff8249d0,GetSRAndDisableInterrupt
0xff8249d4,SetSR
0xff8249f4,EnableInterrupt
0xff824a2c,CreateTask
0xff824a2c,CreateTask_FW
0xff824d74,ExitTask
0xff824d74,ExitTask_FW
0xff824dd8,DebugAssert
0xff824ea0,_uartr_req
0xff824f30,task_UartLog
0xff8250d4,StartRedirectUART_FW
0xff8251e8,StopRedirectUART_FW
0xff825370,sprintf_FW
0xff82538c,strcpy
0xff82538c,strcpy_FW
0xff8253a4,memcmp
0xff8253a4,memcmp_FW
0xff8254a0,j_strcmp_FW
0xff8254a0,strcmp
0xff8254c8,strcmp_FW
0xff8254e4,strlen
0xff8254e4,strlen_FW
0xff8255cc,malloc
0xff825624,free
0xff8261f0,AllocateUncacheableMemory
0xff82622c,FreeUncacheableMemory
0xff8262c8,CreateBinarySemaphore
0xff82634c,CreateCountingSemaphore
0xff82634c,CreateCountingSemaphore_FW
0xff8263ac,DeleteSemaphore
0xff8263ac,DeleteSemaphore_FW
0xff826420,TryTakeSemaphore
0xff826470,TakeSemaphore
0xff826470,TakeSemaphore_FW
0xff826548,GiveSemaphore
0xff826548,GiveSemaphore_FW
0xff826598,GetSemaphoreValue
0xff826618,CreateTaskStrictly
0xff826650,CreateMessageQueueStrictly
0xff826678,CreateEventFlagStrictly
0xff8266a0,CreateBinarySemaphoreStrictly
0xff8266c8,CreateCountingSemaphoreStrictly
0xff8266f0,CreateRecursiveLockStrictly
0xff826718,TakeSemaphoreStrictly
0xff826744,ReceiveMessageQueueStrictly
0xff826770,PostMessageQueueStrictly
0xff82679c,WaitForAnyEventFlagStrictly
0xff8267c8,WaitForAllEventFlagStrictly
0xff8267f4,AcquireRecursiveLockStrictly
0xff826960,_GetSystemTime
0xff826a98,SetTimerAfter
0xff826b04,SetTimerWhen
0xff826b68,CancelTimer
0xff82740c,RenameFile_Fut
0xff827514,DeleteDirectory_Fut
0xff82756c,Fopen_Fut
0xff82756c,Fopen_Fut_FW
0xff8275ac,Fclose_Fut
0xff8275ac,Fclose_Fut_FW
0xff827658,Fread_Fut
0xff827658,Fread_Fut_FW
0xff8276ac,Fwrite_Fut
0xff8276ac,Fwrite_Fut_FW
0xff827700,Fgets_Fut
0xff82774c,Fseek_Fut
0xff82774c,Fseek_Fut_FW
0xff827798,Feof_Fut
0xff8277d4,Fflush_Fut
0xff827a4c,Open
0xff827a4c,Open_FW
0xff827b14,Close
0xff827b14,Close_FW
0xff827b68,Write
0xff827b68,Write_FW
0xff827bbc,j_Open_FW
0xff827bc0,j_Close_FW
0xff827cc0,j_Read_FW
0xff827cc4,j_Write_FW
0xff827d30,Lseek
0xff827d30,lseek
0xff827d30,Lseek_FW
0xff827d50,OpenForScrip_FW
0xff827d78,stat
0xff827ea0,SetFileTimeStamp
0xff827f18,SetFileAttributes
0xff827fb0,mkdir
0xff8281b8,j_StartCameraLog_FW
0xff8281bc,j_ShowCameraLog_FW
0xff8281c0,j_ShowCameraLogInfo_FW
0xff8281c4,j_StopCameraLog_FW
0xff8281c8,j_PutsCameraLogEvent_FW
0xff8281cc,OpLog.Create_FW
0xff828248,j_NewTaskShell_FW
0xff82824c,j_ExMem.View_FW
0xff828250,j_ExMem.AllocUncacheable_FW
0xff828254,j_ExMem.FreeUncacheable_FW
0xff828258,j_ExMem.AllocCacheable_FW
0xff82825c,j_ExMem.FreeCacheable_FW
0xff828260,ExMem_FW
0xff828554,task_Startup
0xff828668,vsprintf
0xff8286a8,strncpy
0xff829888,CreateEventFlag
0xff8298e8,DeleteEventFlag
0xff829950,CheckAnyEventFlag
0xff8299ac,CheckAllEventFlag
0xff829a08,WaitForAnyEventFlag
0xff829af4,WaitForAllEventFlag
0xff829bc0,SetEventFlag
0xff829c08,ClearEventFlag
0xff829c54,GetEventFlagValue
0xff829cd8,CreateMessageQueue
0xff829d88,DeleteMessageQueue
0xff829e2c,ReceiveMessageQueue
0xff829f20,TryReceiveMessageQueue
0xff829f90,PostMessageQueue
0xff82a054,TryPostMessageQueue
0xff82a0a8,GetNumberOfPostedMessages
0xff82a154,CreateRecursiveLock
0xff82a1ac,DeleteRecursiveLock
0xff82a214,AcquireRecursiveLock
0xff82a37c,ReleaseRecursiveLock
0xff82a75c,SleepTask
0xff82a75c,SleepTask_FW
0xff82ab0c,time
0xff82abc0,GetTimeOfSystem_FW
0xff82b45c,task_StartupImage
0xff82c658,task_BatteryTask
0xff82cb40,GetVBatVoltage_FW
0xff82cb40,VbattGet
0xff82cb40,VbattGet_FW
0xff82d4f0,kbd_p2_f
0xff82d854,task_PhySw
0xff82dc70,GetSwitchStatus_FW
0xff82dcdc,GetSDDetect_FW
0xff82dce4,GetSDProtect
0xff82dce4,GetSDProtect_FW
0xff82dd08,GetDialEventId_FW
0xff82dd10,GetLcdPosition_FW
0xff82dd18,GetBatteryCoverClose_FW
0xff82dd20,IsHvSensorExist_FW
0xff82dd28,GetPopupOpen_FW
0xff82dd34,kbd_read_keys
0xff82dd84,kbd_p1_f
0xff82dd90,kbd_p1_f_cont
0xff82de74,EngDrvOut
0xff82de8c,EngDrvIn
0xff82de94,EngDrvRead
0xff82dea8,EngDrvBits
0xff82e0cc,DisplayFactoryMode_FW
0xff82e0d8,UndisplayFactoryMode_FW
0xff82e0e4,IsFAWLANRunning_FW
0xff82e0ec,IsFAConnectUSB_FW
0xff82e0f8,task_bomStopPTPIPTask
0xff82e124,StopPtpipServiceForFAWLAN_FW
0xff82e1e4,SetWLANFactoryMode_FW
0xff82e1ec,ClearWLANFactoryMode_FW
0xff82e1f4,SetSSIDForFAWLAN_FW
0xff82e1fc,DummyUSBConnection_FW
0xff82e570,SetDurianMode_FW
0xff82e5b0,ClearDurianMode_FW
0xff82e5b0,ClearFactoryMode_FW
0xff82e5f0,SetFactoryMode_FW
0xff82e630,ClearDUIDFixFlag_FW
0xff82e668,SetDUIDFixFlag_FW
0xff82e77c,ClearFactoryMasterFlag_FW
0xff82e788,SetFactoryMasterFlag_FW
0xff82e794,ClearFactoryMasterROMProtection_FW
0xff82e7b8,SetFactoryMasterROMProtection_FW
0xff82e7dc,IsMountLens_FW
0xff82e7e4,IsFactoryMode_FW
0xff82e864,IsDUIDFixFlag_FW
0xff82e8ac,IsNormalCameraMode_FW
0xff82e8c4,StartFactoryModeController_FW
0xff82ea9c,task_FsIoNotifyTask
0xff831914,get_fstype
0xff83199c,GetDrive_ClusterSize
0xff83217c,GetDrive_TotalClusters
0xff8321a8,GetDrive_FreeClusters
0xff832570,MakeSDCardBootable
0xff83309c,MoveOpticalZoomAt
0xff833308,SS.GetDigitalZoomPosition_FW
0xff833610,DoAFLock
0xff833640,UnlockAF
0xff8338b0,EnterToCompensationEVF
0xff8338f8,ExitFromCompensationEVF
0xff83394c,DoAELock
0xff833970,UnlockAE
0xff834038,MenuIn
0xff834064,MenuOut
0xff834c18,drysh_FW
0xff834cd0,ExMem.View_FW
0xff83523c,exmem_ualloc
0xff8352c0,ExMem.AllocUncacheable_FW
0xff83537c,exmem_ufree
0xff8353bc,ExMem.FreeUncacheable_FW
0xff8353d0,exmem_alloc
0xff835428,ExMem.AllocCacheable_FW
0xff835438,exmem_free
0xff83549c,ExMem.FreeCacheable_FW
0xff8356c0,RegisterEventProcedure
0xff8357e8,ExecuteEventProcedure
0xff835860,ExecuteEventProcedure_FW
0xff836120,ExportToEventProcedure_FW
0xff83612c,CreateProxyOfEventProcedure_FW
0xff836184,DeleteProxyOfEventProcedure_FW
0xff836210,PutsCameraLogEvent_FW
0xff836270,ShowCameraLogInfo_FW
0xff8362dc,ShowCameraLog_FW
0xff83632c,StartCameraLog_FW
0xff8364f4,StopCameraLog_FW
0xff836554,LogCameraEvent
0xff836a14,task_OpePlay
0xff836b68,OpLog.Stop_FW
0xff836b94,OpLog.WriteToROM_FW
0xff836bc4,j_OpLog.WriteToROM_FW
0xff836bf8,OpLog.ReadFromROM_FW
0xff836c60,OpLog.ReadFromSD_FW
0xff8370a0,OpLog.WriteToSD_FW
0xff8375f4,OpLog.Get_FW
0xff837614,OpLog.GetUsrSet_FW
0xff8376d4,OpLog.Play_FW
0xff8378ec,OpLog.Start_FW
0xff8379d8,OpLog.Terminate_FW
0xff838360,task_EvShel
0xff838414,NewTaskShell
0xff838474,NewTaskShell_FW
0xff838614,TurnOffE1_FW
0xff8386c4,task_Bye
0xff838894,Restart
