0x006df5d4,_dadd
0x006dff68,_dcmp
0x006e01c0,_dcmp_reverse
0x006df8ac,_ddiv
0x006dfd78,_dfix
0x006dfe28,_dfixu
0x006dfeb0,_dflt
0x006dff5c,_dfltu
0x006dac28,_divmod_signed_int
0x006dc244,_divmod_unsigned_int
0x006dfff0,_dmul
0x006e0418,_drsb
0x006e05a4,_dsub
0x006e0928,_f2d
0x006e0aac,_fdiv
0x006e0c90,_ffix
0x006e0d04,_ffixu
0x006e0d64,_fflt
0x006e0d98,_ffltu
0x006e0e18,_fmul
0xff025de8,_GetSystemTime
0x006ddca0,_log
0x006de1e0,_log10
0x006de358,_pow
0x006df410,_safe_sqrt
0x006e1318,_scalbn
0x006e0430,_sqrt
0xff0248c4,_uartr_req
0xff1d25a4,AbortAEIntegralValue_FW
0x006b8884,AcquireRecursiveLock
0x006b7dbc,AcquireRecursiveLockStrictly
0xff1d4e50,ActivateAdjLog_FW
0xff4d03ac,ActivateImageDrive_FW
0xff12a52c,ActivateImager_FW
0xff12a5c4,ActivateImagerXOne_FW
0xff156b40,add_ptp_handler
0xff23d340,add_ui_to_dialog
0xff22bfa0,AdditionAgentRAM_FW
0xff39272c,AddTransparentMemory_FW
0xff4d20a0,AdjAEWithAperturePriority_FW
0xff4d2048,AfAEWithAperturePriority_FW
0xff4d2250,AfAEWithCompensation_FW
0xff122748,AFTool.GetEVal_FW
0xff122950,AFTool.SetAFLogType_FW
0xff122958,AFTool.SetDebugAFSequence_FW
0xff122920,AFTool.StoreAFixPosition_FW
0xff3da598,AllocateMemory
0xff3da598,AllocateMemory_FW
0xff025c18,AllocateUncacheableMemory
0xff2f67ec,apex2us
0xff03841c,atol_FW
0xff1d33dc,AttachIntegCrawData_FW
0xff392764,AttachToTransparentMemory_FW
0xff4a4cf8,Bat_Calc_FW
0xff4d3a50,Bat_Save_FW
0xff4d3a3c,Bat_VIN_FW
0xff071b24,BeepDrive_FW
0xff071b44,BeepDriveComp_FW
0xff4d1014,CalcLog10
0xff4d1050,CalcLog10_FW
0xff4da9cc,CalcLoopGain_FW
0xff4d3a68,CalcLowBatteryOffsetValue_FW
0xff4d1140,CalcSqrt_FW
0xff4a4cf8,CalculateBatSenseOffset_FW
0xff4d95b8,CalculateInterpolationByLS_FW
0xff4d0fe4,CalculateLog2ToApex_FW
0xff4d0fbc,CalculatePeakFromLeastSquareResult_FW
0xff4d9560,CalculatePeakPosByLS_FW
0xff4d0ff8,CalculatePow2FromApex_FW
0xff085a44,CalculateTestRecYUVData_FW
0xff4d1e80,CancelAdj_AEMode_FW
0xff4d6540,CancelAdjCdsMode_FW
0xff4d7f78,CancelBPFilterForBP_FW
0xff4d1748,CancelExStrobeMode_FW
0xff3d4728,CancelFocusLensMaxSpeedLimit_FW
0xff0aca38,CancelHPTimer
0xff4d01f0,CancelImageDrive_FW
0xff12a798,CancelImager_FW
0xff4dac9c,CancelLoopGainCalc_FW
0xff025ff0,CancelTimer
0xff21f928,Capture.Create_FW
0xff4d0298,CaptureWithParam_FW
0xff19de90,CecRegDump_FW
0xff198570,CecRxViewParameter_FW
0xff197454,CecViewParameter_FW
0xff3909a8,ChangeAdjImgDrvMode_FW
0xff3909d4,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff12a914,ChangeAutoSlowShutterEnable_FW
0xff316104,ChangeDefectRecParam_FW
0xff4d37cc,ChangeDistortionSetForLiveImage_FW
0xff4d37f4,ChangeElectronicRollISSetting_FW
0xff4da880,ChangeFilterMode_FW
0xff3d4914,ChangeFocusDistanceToPosition_FW
0xff4d02e0,ChangeImageDrive_FW
0xff12a81c,ChangeImagerToAlternateDraft_FW
0xff12a7dc,ChangeImagerToCombiParallel_FW
0xff12a814,ChangeImagerToDigiconMode_FW
0xff12a88c,ChangeImagerToElectraGlide_FW
0xff12a8dc,ChangeImagerToElectraGlideNepal_FW
0xff12a8d4,ChangeImagerToEsperRocketH_FW
0xff12a874,ChangeImagerToFalconJump_FW
0xff12a854,ChangeImagerToFantaJungle_FW
0xff12a7ec,ChangeImagerToFocusJet_FW
0xff12a844,ChangeImagerToHarleyDavidson_FW
0xff12a8b4,ChangeImagerToHarleyDavidsonNepal_FW
0xff12a8a4,ChangeImagerToHarleySunshine_FW
0xff12a8e4,ChangeImagerToHarleySunshineNepal_FW
0xff12a884,ChangeImagerToHealthyVegetable_FW
0xff12a804,ChangeImagerToHoneyFlash_FW
0xff12a85c,ChangeImagerToHoneyFlashDark_FW
0xff12a8cc,ChangeImagerToLasVegasMagic_FW
0xff12a86c,ChangeImagerToLCWideDraft_FW
0xff12a84c,ChangeImagerToMachDashV_FW
0xff12a7f4,ChangeImagerToMangoPudding_FW
0xff12a80c,ChangeImagerToMillefeAdjust_FW
0xff12a834,ChangeImagerToMontblancMillefe_FW
0xff12a83c,ChangeImagerToMontblancMovie_FW
0xff12a82c,ChangeImagerToMontblancWhole_FW
0xff12a814,ChangeImagerToOITA_XAVIER_FW
0xff12a7bc,ChangeImagerToRegularDrive_FW
0xff12a864,ChangeImagerToRoadKing_FW
0xff12a8bc,ChangeImagerToRoadKingNepal_FW
0xff12a8ac,ChangeImagerToRoadQueen_FW
0xff12a87c,ChangeImagerToSpriteSunshine_FW
0xff12a7fc,ChangeImagerToSuperWideDraft_FW
0xff12a8c4,ChangeImagerToSuperWideNepal_FW
0xff12a824,ChangeImagerToUltraGhostQ_FW
0xff12a89c,ChangeImagerToVeryFastMangoPudding_FW
