0x01109198,_log
0x011096b8,_log10
0x01109820,_pow
0x0110b8a0,_sqrt
0xfc1c0d6d,AbortAEIntegralValue_FW
0x010e68f1,AcquireRecursiveLock
0x010e5c65,AcquireRecursiveLockStrictly
0xfc309aed,ActivateAdjLog_FW
0xfc3fbc71,ActivateImageDrive_FW
0xfc19058b,ActivateImager_FW
0xfc1905e7,ActivateImagerXOne_FW
0xfc23fb37,ActivateUsmCPU_FW
0xfc0f4933,add_ptp_handler
0xfc10147b,AdditionAgentRAM_FW
0xfc021239,AddTransparentMemory_FW
0xfc3fc175,AdjAEWithAperturePriority_FW
0xfc39de77,AdjustZoomEncoderPi_FW
0xfc3fc147,AfAEWithAperturePriority_FW
0xfc3fc325,AfAEWithCompensation_FW
0xfc18a98d,AFTool.GetEVal_FW
0xfc18aabf,AFTool.SetAFLogType_FW
0xfc18aac3,AFTool.SetDebugAFSequence_FW
0xfc18aaa3,AFTool.StoreAFixPosition_FW
0xfc3a469b,AllocateMemory_FW
0xfc16cb81,AllocateUncacheableMemory
0xfc28660d,ApMoniSel_FW
0xfc1b1ab7,AprocSigProc_ALC_FW
0xfc1b1acd,AprocSigProc_ALCReset_FW
0xfc1b1a6d,AprocSigProc_DCCut_FW
0xfc1b1a67,AprocSigProc_DRange_FW
0xfc1b1a8f,AprocSigProc_EQ_FW
0xfc1b1a97,AprocSigProc_FIL1_FW
0xfc1b1a9f,AprocSigProc_FIL2_FW
0xfc1b1aa7,AprocSigProc_FIL3_FW
0xfc1b1aaf,AprocSigProc_FIL4_FW
0xfc1b1a73,AprocSigProc_GainAdj_FW
0xfc1b1a33,AprocSigProc_InitialSet_FW
0xfc1b1ac5,AprocSigProc_LevelMeter_FW
0xfc1b1abd,AprocSigProc_Limiter_FW
0xfc1b1f4d,AprocSigProc_LoadProfileAdj_FW
0xfc1b1add,AprocSigProc_NCReset_FW
0xfc1b1a7b,AprocSigProc_NoiseCut_FW
0xfc1b2b5f,AprocSigProc_NoiseCutEffect_FW
0xfc1b19c5,AprocSigProc_SetSigProcByMode_FW
0xfc1b1a83,AprocSigProc_Stereo_FW
0xfc1b1aed,AprocSigProc_TestGen1kHz_FW
0xfc1b1a5f,AprocSigProc_TestGen_FW
0xfc1b1a89,AprocSigProc_WindCut_FW
0xfc1b1ad5,AprocSigProc_WindCutReset_FW
0xfc0978f3,atol_FW
0xfc1c1619,AttachIntegCrawData_FW
0xfc021257,AttachToTransparentMemory_FW
0xfc0a4f8b,autoIPAddressing_FW
0xfc4aadc9,Bat_Calc_FW
0xfc3fd353,Bat_Save_FW
0xfc3fd347,Bat_VIN_FW
0xfc288847,BeepDrive_FW
0xfc28885b,BeepDriveComp_FW
0xfc28886f,BeepDriveStop_FW
0x01106b1c,bzero
0xfc141587,CalcAccelerometerAtanAngle_FW
0xfc4b3eaf,CalcLog10
0xfc4b3edb,CalcLog10_FW
0xfc40136b,CalcLoopGain_FW
