0x010e1389,CreateTask_low
0x010e1751,get_self_task_id
0x010e1b59,get_task_properties
0x010e1c35,dry_error_printf
0x010e27c5,createsemaphore_low
0x010e288b,givesemaphore_low
0x010e28b3,takesemaphore_low
0x010e4ff1,SleepTask
0x010e4ff1,SleepTask_FW
0x010e5089,CreateTask
0x010e5089,CreateTask_FW
0x010e526b,ExitTask
0x010e526b,ExitTask_FW
0x010e52b9,CreateEventFlag
0x010e52f1,DeleteEventFlag
0x010e532d,CheckAnyEventFlag
0x010e5363,CheckAllEventFlag
0x010e5399,WaitForAnyEventFlag
0x010e541b,WaitForAllEventFlag
0x010e549b,SetEventFlag
0x010e54c9,ClearEventFlag
0x010e54f9,GetEventFlagValue
0x010e554d,RegisterInterruptHandler
0x010e5633,j1_GetSRAndDisableInterrupt
0x010e5637,j1_SetSR
0x010e5681,CreateMessageQueue
0x010e56e5,DeleteMessageQueue
0x010e5747,ReceiveMessageQueue
0x010e57d3,TryReceiveMessageQueue
0x010e581d,PostMessageQueue
0x010e589b,TryPostMessageQueue
0x010e58d1,GetNumberOfPostedMessages
0x010e5939,CreateBinarySemaphore
0x010e5985,CreateCountingSemaphore_FW
0x010e59bd,DeleteSemaphore
0x010e59bd,DeleteSemaphore_FW
0x010e59fd,TryTakeSemaphore
0x010e5a2d,TakeSemaphore
0x010e5a2d,TakeSemaphore_FW
0x010e5aa5,GiveSemaphore
0x010e5aa5,GiveSemaphore_FW
0x010e5ad5,GetSemaphoreValue
0x010e5b35,CreateTaskStrictly
0x010e5b57,CreateMessageQueueStrictly
0x010e5b71,CreateEventFlagStrictly
0x010e5b8b,CreateBinarySemaphoreStrictly
0x010e5ba5,CreateCountingSemaphoreStrictly
0x010e5bbf,CreateRecursiveLockStrictly
0x010e5bd9,TakeSemaphoreStrictly
0x010e5c11,PostMessageQueueStrictly
0x010e5c2d,WaitForAnyEventFlagStrictly
0x010e5c49,WaitForAllEventFlagStrictly
0x010e5c65,AcquireRecursiveLockStrictly
0x010e5c8d,DebugAssert
0x010e5ca3,DebugAssert2
0x010e5cad,set_assert_handler
0x010e5e6f,time
0x010e5ed9,GetTimeOfSystem_FW
0x010e61a1,LocalTime
0x010e63cd,task_SD1stInit
0x010e6881,CreateRecursiveLock
0x010e68f1,AcquireRecursiveLock
0x010e69bf,ReleaseRecursiveLock
0x010e78cd,ChangeSDPortVoltage_FW
0x010f772d,j2_GetSRAndDisableInterrupt
0x010f7737,j2_SetSR
0x010f78c5,j_mktime_ext
0x01106a34,dry_memcpy
0x01106b1c,bzero
0x01106b20,memset32
0x01109198,_log
0x011096b8,_log10
0x01109820,_pow
0x0110b8a0,_sqrt
0xfc0205e3,PointDefDetect_FW
0xfc0206e5,MergeAndConvertDefect_FW
0xfc0208af,PointKizuCheck_FW
0xfc0208ff,SensDefCrowdCheck_FW
0xfc020923,CrossDefDetect_FW
0xfc0209d1,CrossPickUpDetect_FW
0xfc020a9b,MixPixDetect_FW
0xfc020be7,GetDefectCrawInfo_FW
0xfc020c39,GetDefectAllResultData_FW
0xfc020c69,GetDefectPartResultData_FW
0xfc020cc5,SetDefectDebugInfo_FW
0xfc020cf9,GetDefectHistgramInfo_FW
0xfc020d17,MarkPointDefData_FW
0xfc020d1d,GetDefectTvAdj_FW
0xfc020d81,SetDefectRecParam_FW
0xfc020eaf,ChangeDefectRecParam_FW
0xfc020ebf,ExecuteDefectRec_FW
0xfc020ee9,ExecuteDefectRecAndSaveImage_FW
0xfc020f3d,ExecuteDefectRecWithGrade_FW
0xfc020f6b,ExecuteDefectRecAndSaveImageWithGrade_FW
0xfc020fc1,InitializeDefectRec_FW
0xfc020fd3,TerminateDefectRec_FW
0xfc020fdd,MakeDefectTurnTable_FW
0xfc021003,ClearDefectTurnTable_FW
0xfc02100d,GetDefectTurnTableParam_FW
0xfc021065,EngDrvOut_FW
0xfc021075,EngDrvIn_FW
0xfc02107b,EngDrvRead_FW
0xfc021081,EngDrvBits_FW
0xfc021093,EngDrvReadDump_FW
0xfc021201,ShowTransparentMemory_FW
0xfc021215,DumpTransparentMemoryItem_FW
0xfc021239,AddTransparentMemory_FW
0xfc021257,AttachToTransparentMemory_FW
0xfc021275,RemoveTransparentMemory_FW
0xfc021287,GetTransparentMemorySize_FW
0xfc021293,GetTransparentMemory_FW
0xfc0212b5,GetTransparentMemoryPosition_FW
0xfc021559,InitializeSoundRec_FW
0xfc021589,TerminateSoundRec_FW
0xfc0215a3,j_InitializeSoundRec_FW
0xfc0215a5,j_TerminateSoundRec_FW
0xfc0215a7,StartSoundRecord_FW
0xfc0215bf,StartSoundPlay_FW
0xfc0217a5,InitializeFAGeneralTest_FW
0xfc0217af,TerminateFAGeneralTest_FW
0xfc0217bb,InitializeFAExtendFile_FW
0xfc0217c3,TerminateFAExtendFile_FW
0xfc025679,NR_SetDoubleNRType_FW
0xfc05efad,exception_handler_UndefinedInstruction
