0x0014eedc,task_AdditionAgent
0x006b1b14,DisableDispatch_low
0x006b1b40,EnableDispatch_low
0x006b1b94,get_self_task_id
0x006b21d8,get_task_properties
0x006b5480,RegisterInterruptHandler
0x006b5510,UnregisterInterruptHandler
0x006b55fc,GetSRAndDisableInterrupt
0x006b5600,SetSR
0x006b5620,EnableInterrupt
0x006b5658,CreateTask
0x006b5658,CreateTask_FW
0x006b5994,ExitTask
0x006b5994,ExitTask_FW
0x006b59f8,DebugAssert
0x006b7884,CreateBinarySemaphore
0x006b7908,CreateCountingSemaphore
0x006b7908,CreateCountingSemaphore_FW
0x006b7968,DeleteSemaphore
0x006b7968,DeleteSemaphore_FW
0x006b79dc,TryTakeSemaphore
0x006b7a2c,TakeSemaphore
0x006b7a2c,TakeSemaphore_FW
0x006b7b04,GiveSemaphore
0x006b7b04,GiveSemaphore_FW
0x006b7b54,GetSemaphoreValue
0x006b7bd4,CreateTaskStrictly
0x006b7c0c,CreateMessageQueueStrictly
0x006b7c34,CreateEventFlagStrictly
0x006b7c5c,CreateBinarySemaphoreStrictly
0x006b7c84,CreateCountingSemaphoreStrictly
0x006b7cac,CreateRecursiveLockStrictly
0x006b7cd4,TakeSemaphoreStrictly
0x006b7d00,ReceiveMessageQueueStrictly
0x006b7d2c,PostMessageQueueStrictly
0x006b7d58,WaitForAnyEventFlagStrictly
0x006b7d84,WaitForAllEventFlagStrictly
0x006b7db0,AcquireRecursiveLockStrictly
0x006b7eec,CreateEventFlag
0x006b7f4c,DeleteEventFlag
0x006b7fb4,CheckAnyEventFlag
0x006b8010,CheckAllEventFlag
0x006b806c,WaitForAnyEventFlag
0x006b8158,WaitForAllEventFlag
0x006b8224,SetEventFlag
0x006b826c,ClearEventFlag
0x006b82b8,GetEventFlagValue
0x006b833c,CreateMessageQueue
0x006b83ec,DeleteMessageQueue
0x006b8490,ReceiveMessageQueue
0x006b8584,TryReceiveMessageQueue
0x006b85f4,PostMessageQueue
0x006b86b8,TryPostMessageQueue
0x006b870c,GetNumberOfPostedMessages
0x006b87b8,CreateRecursiveLock
0x006b8810,DeleteRecursiveLock
0x006b8878,AcquireRecursiveLock
0x006b89e0,ReleaseRecursiveLock
0x006b8d54,SleepTask
0x006b8d54,SleepTask_FW
0x006b9234,GetTimeOfSystem_FW
0x006b9998,LocalTime
0x006ba89c,WriteSDCard
0x006baf0c,task_SD1stInit
0x006dad30,_divmod_signed_int
0x006dc34c,_divmod_unsigned_int
0x006ddda8,_log
0x006de2e8,_log10
0x006de6b0,_pow
0x006df768,_safe_sqrt
0x006df92c,_dadd
0x006dfc04,_ddiv
0x006e00d0,_dfix
0x006e0180,_dfixu
0x006e0208,_dflt
0x006e02b4,_dfltu
0x006e02c0,_dcmp
0x006e0348,_dmul
0x006e0518,_dcmp_reverse
0x006e0770,_drsb
0x006e0788,_sqrt
0x006e08fc,_dsub
0x006e0c80,_f2d
0x006e0e04,_fdiv
0x006e0fe8,_ffix
0x006e105c,_ffixu
0x006e10bc,_fflt
0x006e10f0,_ffltu
0x006e11d0,_fmul
0x006e16d0,_scalbn
0xff020b68,memShow_FW
0xff0229e4,task_ClockSave
0xff023398,get_self_task_errno_pointer
0xff023408,GetMemInfo
0xff023c70,open
0xff023d20,close
0xff023ec4,Read
0xff023ec4,Read_FW
0xff0247a0,err_init_task
0xff0248c4,_uartr_req
0xff024954,task_UartLog
0xff024af8,StartRedirectUART_FW
0xff024c0c,StopRedirectUART_FW
0xff024d98,sprintf_FW
0xff024db4,strcpy
0xff024db4,strcpy_FW
0xff024dcc,memcmp
0xff024dcc,memcmp_FW
0xff024ec8,j_strcmp_FW
0xff024ec8,strcmp
0xff024ef0,strcmp_FW
0xff024f0c,strlen
0xff024f0c,strlen_FW
0xff024ff4,malloc
