0xff811e38,wrapped_malloc
0xff8122b0,printclock_FW
0xff8123cc,StopClockSaver_FW
0xff8123e8,SetLClk72MHz_FW
0xff8123f8,SetLClk54MHz_FW
0xff812408,SetLClk36MHz_FW
0xff812418,SetLClk18MHz_FW
0xff812610,SetHClk72MHz_FW
0xff81266c,SetHClk36MHz_FW
0xff8126a0,SetHClk18MHz_FW
0xff8126fc,SetMClk72MHz_FW
0xff812708,SetMClk36MHz_FW
0xff812714,SetMClk18MHz_FW
0xff813770,_GetSystemTime
0xff8138c4,SetTimerAfter
0xff813960,SetTimerWhen
0xff8139d8,CancelTimer
0xff8141e0,SetHPTimerAfterNow
0xff81426c,SetHPTimerAfterTimeout
0xff8146c8,CancelHPTimer
0xff8149d0,RegisterEventProcedure_FW
0xff814adc,ExecuteEventProcedure
0xff814adc,ExecuteEventProcedure_FW
0xff815444,ExportToEventProcedure_FW
0xff81545c,CreateProxyOfEventProcedure_FW
0xff8154e4,DeleteProxyOfEventProcedure_FW
0xff815928,LogCameraEvent
0xff8159f8,PutsCameraLogEvent_FW
0xff815b00,ShowCameraLogInfo_FW
0xff815ba4,ShowCameraLog_FW
0xff815e84,StopCameraLog_FW
0xff817dbc,StartWDT_FW
0xff817e38,StopWDT_FW
0xff817fac,GetBuildDate_FW
0xff817fc4,GetBuildTime_FW
0xff817fe8,GetFirmwareVersion_FW
0xff818190,RomCheckSum_FW
0xff81822c,CheckSumAll_FW
0xff818408,SystemEventDelete_FW
0xff818524,Dump_FW
0xff818700,Dump32_FW
0xff818710,FreeMemory
0xff818710,FreeMemory_FW
0xff818724,AllocateMemory
0xff818724,AllocateMemory_FW
0xff818734,Wait_FW
0xff818748,Poke32_FW
0xff81875c,Poke16_FW
0xff818770,Poke8_FW
0xff818784,Peek32_FW
0xff818790,Peek16_FW
0xff8187a4,Peek8_FW
0xff8187b8,EraseSignature_FW
0xff8187e8,GetSystemTime_FW
0xff818808,MonSelEvent_FW
0xff818840,exec_FW
0xff81926c,RotateConsoleZOder_FW
0xff819314,CPrintf_FW
0xff819378,CPutChar_FW
0xff8193ac,GetCh_FW
0xff819410,GetStringWithPrompt_FW
0xff819494,OpenConsole_FW
0xff8195dc,CloseConsole_FW
0xff81bc20,SetPropertyCase
0xff81c9f0,MakeBootDisk_FW
0xff81ca04,MakeScriptDisk_FW
0xff81d580,StartUARTRedirect_FW
0xff81d598,StopUARTRedirect_FW
0xff81d5e8,ExMem.AllocUncacheable_FW
0xff81d600,ExMem.FreeUncacheable_FW
0xff81d614,ExMem.AllocCacheable_FW
0xff81d62c,ExMem.FreeCacheable_FW
0xff81e5c0,exmem_free
0xff81e664,AllocateUncacheableMemory
0xff81f120,UI_ShowStateOfRecMode_FW
0xff81f2a4,UIFS_SetDialStillRec_FW
0xff81f2b4,UIFS_SetDialMovieRec_FW
0xff81f2c4,UIFS_SetDialPlay_FW
0xff81f2d4,UIFS_OpenPopupStrobe_FW
0xff81f308,UIFS_ClosePopupStrobe_FW
0xff81f33c,UIFS_MountExtFlash_FW
0xff81f370,UIFS_UnmountExtFlash_FW
0xff81f3a4,UIFS_PressTeleButton_FW
0xff81f3d8,UIFS_PressWideButton_FW
0xff81f408,ModeLevelStillRecForScript_FW
0xff81f414,ModeLevelMovieRecForScript_FW
0xff81f420,ModeLevelPlayForScript_FW
0xff81f42c,UIFS_StopPostingUIEvent_FW
0xff81f438,UIFS_RestartPostingUIEvent_FW
0xff81f444,UIFS_SetCaptureModeToP_FW
0xff81f480,UIFS_SetCaptureModeToM_FW
0xff81f4bc,UIFS_SetCaptureModeToMacro_FW
0xff81f4d0,UIFS_Capture_FW
0xff81f4e0,UIFS_CaptureNoneStop_FW
0xff81f4ec,UIFS_StartMovieRecord_FW
